row,scenario,symbol,side,entry_price,exit_price,gross_price_return_pct,recorded_return_pct,implicit_cost_pct,pnl,best_cost_hypothesis_pp,best_hypothesis_residual_pp,classification,message
25,S72_SL4_TP8,DEXE/USDT,,37.721,36.21216,-4.0000000000000036,-4.200000000000004,0.20000000000000018,-42.000000000000036,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
26,S72_SL4_TP8,TREE/USDT,,0.0385,0.04158,8.000000000000007,7.800000000000007,0.20000000000000018,78.00000000000007,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
27,S72_SL4_TP8,SNDKB/USDT,,1409.95,1499.3,6.3371041526295135,6.137104152629513,0.20000000000000018,61.37104152629513,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
28,S72_SL4_TP8,XRP/USDT,,1.1059,1.1363,2.7488923049100222,2.548892304910022,0.20000000000000018,25.488923049100222,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
29,S72_SL4_TP8,ETH/USDT,,1893.2,1935.69,2.244348193534762,2.044348193534762,0.20000000000000018,20.44348193534762,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
30,S72_SL4_TP8,NEAR/USDT,,1.965,1.988,1.1704834605597902,0.9704834605597903,0.19999999999999996,9.704834605597902,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
31,S72_SL4_TP8,BMT/USDT,,0.01184,0.01197,1.0979729729729826,0.8979729729729826,0.19999999999999996,8.979729729729826,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
32,S72_SL4_TP8,OPN/USDT,,0.063,0.06804,8.000000000000007,7.800000000000007,0.20000000000000018,78.00000000000007,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
33,S72_SL4_TP8,RARE/USDT,,0.0128,0.0127,-0.7812500000000111,-0.9812500000000111,0.19999999999999996,-9.812500000000112,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
34,S72_SL4_TP8,RED/USDT,,0.1032,0.1011,-2.034883720930236,-2.2348837209302364,0.20000000000000018,-22.348837209302364,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
35,S72_SL4_TP8,BICO/USDT,,0.01401,0.01386,-1.0706638115631661,-1.270663811563166,0.19999999999999996,-12.706638115631662,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
36,S72_SL4_TP8,XPL/USDT,,0.08624,0.0827904,-3.9999999999999925,-4.199999999999992,0.19999999999999973,-41.99999999999992,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
37,S72_SL4_TP8,GPS/USDT,,0.00924,0.00898,-2.813852813852813,-3.013852813852813,0.20000000000000018,-30.13852813852813,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
38,S72_SL4_TP8,OPN/USDT,,0.0695,0.06672,-4.0000000000000036,-4.200000000000004,0.20000000000000018,-42.000000000000036,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
39,S72_SL4_TP8,GIGGLE/USDT,,26.85,26.34,-1.8994413407821265,-2.0994413407821266,0.20000000000000018,-20.994413407821266,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
40,S72_SL4_TP8,ALPINE/USDT,,0.312,0.311,-0.3205128205128194,-0.5205128205128193,0.19999999999999996,-5.205128205128193,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
41,S72_SL4_TP8,SKHYB/USDT,,163.9,168.61,2.873703477730327,2.673703477730327,0.20000000000000018,26.737034777303272,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
42,S72_SL4_TP8,MSTRB/USDT,,102.67,99.78,-2.8148436739066973,-3.0148436739066975,0.20000000000000018,-30.148436739066973,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
43,S72_SL4_TP8,GRAM/USDT,,1.518,1.517,-0.06587615283267789,-0.2658761528326779,0.2,-2.658761528326779,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
44,S72_SL4_TP8,PORTAL/USDT,,0.01106,0.01088,-1.6274864376130127,-1.8274864376130127,0.19999999999999996,-18.274864376130125,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
45,S72_SL4_TP8,PLUME/USDT,,0.01178,0.0113088,-3.9999999999999925,-4.199999999999992,0.19999999999999973,-41.99999999999992,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
46,S72_SL4_TP8,ALLO/USDT,,0.504,0.5095,1.0912698412698374,0.8912698412698374,0.19999999999999996,8.912698412698374,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
47,S72_SL4_TP8,ONDO/USDT,,0.4109,0.4035,-1.8009247992212152,-2.0009247992212154,0.20000000000000018,-20.009247992212153,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
48,S72_SL4_TP8,UNI/USDT,,3.767,3.831,1.6989646933899705,1.4989646933899705,0.19999999999999996,14.989646933899705,0.2,0.0,NET_MINUS_0_20PP,"return_pct coincide com retorno de preço menos 0,20 p.p."
