trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_return_pct,pnl_usdt,buy_order_id,sell_order_id
20260918130000+0000_7d4d3e6ae2_2026-09-19T08:58:07.550171+00:00,AVAX/USDT,2026-09-18T21:44:02.445777+00:00,2026-09-19T08:58:07.550171+00:00,8.281000000000,8.784000000000,0.840000000000,TARGET,6.074146,0.422520,5745340093,5747358756
20260918130000+0000_6cea4c607a_2026-09-19T14:28:05.996278+00:00,ARB/USDT,2026-09-18T21:44:03.000722+00:00,2026-09-19T14:28:05.996278+00:00,0.222600000000,0.210000000000,31.400000000000,STOP,-5.660377,-0.394380,3695130234,3697028028
20260918170000+0000_53c6f1e26b_2026-09-19T15:44:20.046971+00:00,G/USDT,2026-09-19T08:58:10.546112+00:00,2026-09-19T15:44:20.046971+00:00,0.008380000000,0.009240000000,835.000000000000,TARGET,10.262530,0.717240,363318877,364315553
20260918130000+0000_c54215cb12_2026-09-19T17:04:21.268883+00:00,PEPE/USDT,2026-09-18T21:44:01.896464+00:00,2026-09-19T17:04:21.268883+00:00,0.000003890000,0.000004130000,1799485.000000000000,TARGET,6.169666,0.431444,5419571867,5420213184
20260918130000+0000_31cd85b58f_2026-09-19T21:21:28.586958+00:00,FET/USDT,2026-09-18T21:44:03.553553+00:00,2026-09-19T21:21:28.586958+00:00,0.184300000000,0.174600000000,37.900000000000,STOP,-5.263158,-0.366660,3673024038,3673871540
20260918130000+0000_8a011166a6_2026-09-19T21:45:04.663186+00:00,POL/USDT,2026-09-18T21:44:04.118810+00:00,2026-09-19T21:45:04.663186+00:00,0.106360000000,0.103870000000,65.800000000000,TIME,-2.341106,-0.163593,1153740865,1154972557
20260919130000+0000_d9feb466db_2026-09-20T01:22:32.048956+00:00,ENA/USDT,2026-09-19T14:48:54.748565+00:00,2026-09-20T01:22:32.048956+00:00,0.199500000000,0.211400000000,35.080000000000,TARGET,5.964912,0.416976,3419329567,3421472465
20260918220000+0000_e722d01d8d_2026-09-20T01:31:49.236851+00:00,F/USDT,2026-09-19T21:21:31.913060+00:00,2026-09-20T01:31:49.236851+00:00,0.004117000000,0.003908000000,1700.000000000000,STOP,-5.076512,-0.354882,96300064,96568720
20260919160000+0000_942b084421_2026-09-20T03:36:47.093783+00:00,AR/USDT,2026-09-20T01:31:52.100702+00:00,2026-09-20T03:36:47.093783+00:00,4.466262820513,4.232780645161,1.560000000000,STOP,-5.227686,-0.361897,2422373797,2422560790
20260919150000+0000_a69e271752_2026-09-20T08:51:19.301903+00:00,SUI/USDT,2026-09-19T21:45:07.722101+00:00,2026-09-20T08:51:19.301903+00:00,0.854900000000,0.811800000000,8.100000000000,STOP,-5.041525,-0.344800,8872496505,8874668647
20260918160000+0000_20ad47da74_2026-09-20T16:50:26.493754+00:00,PAXG/USDT,2026-09-19T15:44:22.297889+00:00,2026-09-20T16:50:26.493754+00:00,4368.300000000000,4368.680000000000,0.001600000000,TIME,0.008699,0.000570,916861194,916997421
20260919190000+0000_4c856b0cfa_2026-09-20T16:57:38.928534+00:00,OP/USDT,2026-09-20T03:36:48.942732+00:00,2026-09-20T16:57:38.928534+00:00,0.120800000000,0.128900000000,57.940000000000,TARGET,6.705298,0.468828,3121603242,3122490593
20260919140000+0000_40b8b59633_2026-09-20T17:04:50.277295+00:00,XRP/USDT,2026-09-19T17:04:24.317045+00:00,2026-09-20T17:04:50.277295+00:00,1.435700000000,1.411500000000,4.800000000000,TIME,-1.685589,-0.113740,15478603871,15483765484
20260919170000+0000_9c3460a55b_2026-09-21T00:45:24.595747+00:00,PUMP/USDT,2026-09-20T16:57:41.046312+00:00,2026-09-21T00:45:24.595747+00:00,0.004144000000,0.004397000000,1689.000000000000,TARGET,6.105212,0.427317,892546250,893348179
20260919020000+0000_cb8b1ee46a_2026-09-21T01:23:18.129024+00:00,UNI/USDT,2026-09-20T01:22:35.588184+00:00,2026-09-21T01:23:18.129024+00:00,8.825000000000,8.863000000000,0.790000000000,TIME,0.430595,0.029640,5372023723,5376726858
20260920180000+0000_89816f7a71_2026-09-21T04:28:47.809435+00:00,PROVE/USDT,2026-09-21T01:23:21.216342+00:00,2026-09-21T04:28:47.809435+00:00,0.235200000000,0.249400000000,29.700000000000,TARGET,6.037415,0.420320,311684677,311766290
20260920010000+0000_cb52aead89_2026-09-21T15:52:20.463460+00:00,BNB/USDT,2026-09-20T08:51:21.853593+00:00,2026-09-21T15:52:20.463460+00:00,748.720000000000,805.340000000000,0.009000000000,TARGET,7.562240,0.452960,12641413084,12654699232
