row,scenario,symbol,gross_return_pct,recorded_return_pct,implicit_cost_pp,cost_0_10_net,cost_0_15_net,cost_0_20_net,cost_0_30_net
38,S72_SL4_TP8,OPN/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
39,S72_SL4_TP8,GIGGLE/USDT,-1.8994413408,-2.0994413408,0.2000000000,-1.9994413408,-2.0494413408,-2.0994413408,-2.1994413408
40,S72_SL4_TP8,ALPINE/USDT,-0.3205128205,-0.5205128205,0.2000000000,-0.4205128205,-0.4705128205,-0.5205128205,-0.6205128205
41,S72_SL4_TP8,SKHYB/USDT,2.8737034777,2.6737034777,0.2000000000,2.7737034777,2.7237034777,2.6737034777,2.5737034777
42,S72_SL4_TP8,MSTRB/USDT,-2.8148436739,-3.0148436739,0.2000000000,-2.9148436739,-2.9648436739,-3.0148436739,-3.1148436739
43,S72_SL4_TP8,GRAM/USDT,-0.0658761528,-0.2658761528,0.2000000000,-0.1658761528,-0.2158761528,-0.2658761528,-0.3658761528
44,S72_SL4_TP8,PORTAL/USDT,-1.6274864376,-1.8274864376,0.2000000000,-1.7274864376,-1.7774864376,-1.8274864376,-1.9274864376
45,S72_SL4_TP8,PLUME/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
46,S72_SL4_TP8,ALLO/USDT,1.0912698413,0.8912698413,0.2000000000,0.9912698413,0.9412698413,0.8912698413,0.7912698413
47,S72_SL4_TP8,ONDO/USDT,-1.8009247992,-2.0009247992,0.2000000000,-1.9009247992,-1.9509247992,-2.0009247992,-2.1009247992
48,S72_SL4_TP8,UNI/USDT,1.6989646934,1.4989646934,0.2000000000,1.5989646934,1.5489646934,1.4989646934,1.3989646934
49,S72_SL4_TP8,CHIP/USDT,-2.3278370514,-2.5278370514,0.2000000000,-2.4278370514,-2.4778370514,-2.5278370514,-2.6278370514
50,S72_SL4_TP8,KAITO/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
51,S72_SL4_TP8,SOXLB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
52,S72_SL4_TP8,WLD/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
53,S72_SL4_TP8,EDEN/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
54,S72_SL4_TP8,OPN/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
55,S72_SL4_TP8,ADA/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
56,S72_SL4_TP8,SNDKB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
57,S72_SL4_TP8,TRUMP/USDT,-2.5015253203,-2.7015253203,0.2000000000,-2.6015253203,-2.6515253203,-2.7015253203,-2.8015253203
58,S72_SL4_TP8,KAITO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
59,S72_SL4_TP8,BMT/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
60,S72_SL4_TP8,PLUME/USDT,-2.7923211169,-2.9923211169,0.2000000000,-2.8923211169,-2.9423211169,-2.9923211169,-3.0923211169
61,S72_SL4_TP8,HEI/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
62,S72_SL4_TP8,HOME/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
63,S72_SL4_TP8,XPL/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
64,S72_SL4_TP8,UNI/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
65,S72_SL4_TP8,HEMI/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
66,S72_SL4_TP8,RE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
67,S72_SL4_TP8,GPS/USDT,-0.1069518717,-0.3069518717,0.2000000000,-0.2069518717,-0.2569518717,-0.3069518717,-0.4069518717
68,S72_SL4_TP8,TUT/USDT,5.9228650138,5.7228650138,0.2000000000,5.8228650138,5.7728650138,5.7228650138,5.6228650138
69,S72_SL4_TP8,TREE/USDT,-3.2994923858,-3.4994923858,0.2000000000,-3.3994923858,-3.4494923858,-3.4994923858,-3.5994923858
70,S72_SL4_TP8,ALPINE/USDT,0.3184713376,0.1184713376,0.2000000000,0.2184713376,0.1684713376,0.1184713376,0.0184713376
71,S72_SL4_TP8,PLUME/USDT,2.9736618522,2.7736618522,0.2000000000,2.8736618522,2.8236618522,2.7736618522,2.6736618522
72,S72_SL4_TP8,MUBARAK/USDT,0.9199632015,0.7199632015,0.2000000000,0.8199632015,0.7699632015,0.7199632015,0.6199632015
73,S72_SL4_TP8,TUT/USDT,0.8196721311,0.6196721311,0.2000000000,0.7196721311,0.6696721311,0.6196721311,0.5196721311
74,S72_SL4_TP8,ONDO/USDT,0.7877892664,0.5877892664,0.2000000000,0.6877892664,0.6377892664,0.5877892664,0.4877892664
75,S72_SL4_TP8,USDE/USDT,0.0000000000,-0.2000000000,0.2000000000,-0.1000000000,-0.1500000000,-0.2000000000,-0.3000000000
76,S72_SL4_TP8,PAXG/USDT,0.3908432418,0.1908432418,0.2000000000,0.2908432418,0.2408432418,0.1908432418,0.0908432418
77,S72_SL4_TP8,UNI/USDT,-1.4826175869,-1.6826175869,0.2000000000,-1.5826175869,-1.6326175869,-1.6826175869,-1.7826175869
78,S72_SL4_TP8,AAVE/USDT,2.8144329897,2.6144329897,0.2000000000,2.7144329897,2.6644329897,2.6144329897,2.5144329897
79,S72_SL4_TP8,CRCLB/USDT,0.0941471834,-0.1058528166,0.2000000000,-0.0058528166,-0.0558528166,-0.1058528166,-0.2058528166
80,S72_SL4_TP8,GRAM/USDT,-2.1724818960,-2.3724818960,0.2000000000,-2.2724818960,-2.3224818960,-2.3724818960,-2.4724818960
81,S72_SL4_TP8,BNB/USDT,-0.2651131964,-0.4651131964,0.2000000000,-0.3651131964,-0.4151131964,-0.4651131964,-0.5651131964
82,S72_SL4_TP8,TAO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
83,S72_SL4_TP8,KAITO/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
84,S72_SL4_TP8,PUMP/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
85,S72_SL4_TP8,BCH/USDT,-2.9653284672,-3.1653284672,0.2000000000,-3.0653284672,-3.1153284672,-3.1653284672,-3.2653284672
86,S72_SL4_TP8,RLUSD/USDT,-0.0199740338,-0.2199740338,0.2000000000,-0.1199740338,-0.1699740338,-0.2199740338,-0.3199740338
87,S72_SL4_TP8,MSTRB/USDT,0.7392197125,0.5392197125,0.2000000000,0.6392197125,0.5892197125,0.5392197125,0.4392197125
88,S72_SL4_TP8,USDC/USDT,-0.0099905090,-0.2099905090,0.2000000000,-0.1099905090,-0.1599905090,-0.2099905090,-0.3099905090
89,S72_SL4_TP8,USD1/USDT,-0.0120012001,-0.2120012001,0.2000000000,-0.1120012001,-0.1620012001,-0.2120012001,-0.3120012001
90,S72_SL4_TP8,TREE/USDT,-1.5503875969,-1.7503875969,0.2000000000,-1.6503875969,-1.7003875969,-1.7503875969,-1.8503875969
91,S72_SL4_TP8,MUBARAK/USDT,-0.4566210046,-0.6566210046,0.2000000000,-0.5566210046,-0.6066210046,-0.6566210046,-0.7566210046
92,S72_SL4_TP8,U/USDT,0.0199860098,-0.1800139902,0.2000000000,-0.0800139902,-0.1300139902,-0.1800139902,-0.2800139902
93,S72_SL4_TP8,XUSD/USDT,0.0000000000,-0.2000000000,0.2000000000,-0.1000000000,-0.1500000000,-0.2000000000,-0.3000000000
94,S72_SL4_TP8,CRCLB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
95,S72_SL4_TP8,FDUSD/USDT,-0.1000700490,-0.3000700490,0.2000000000,-0.2000700490,-0.2500700490,-0.3000700490,-0.4000700490
96,S72_SL4_TP8,AAVE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
97,S72_SL4_TP8,GPS/USDT,3.6170212766,3.4170212766,0.2000000000,3.5170212766,3.4670212766,3.4170212766,3.3170212766
98,S72_SL4_TP8,PLUME/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
99,S72_SL4_TP8,ONDO/USDT,-3.6937377691,-3.8937377691,0.2000000000,-3.7937377691,-3.8437377691,-3.8937377691,-3.9937377691
100,S72_SL4_TP8,AVAX/USDT,-2.6676829268,-2.8676829268,0.2000000000,-2.7676829268,-2.8176829268,-2.8676829268,-2.9676829268
101,S72_SL4_TP8,KAITO/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
102,S72_SL4_TP8,ETH/USDT,0.7503062743,0.5503062743,0.2000000000,0.6503062743,0.6003062743,0.5503062743,0.4503062743
103,S72_SL4_TP8,RE/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
104,S72_SL4_TP8,EURI/USDT,0.5439073603,0.3439073603,0.2000000000,0.4439073603,0.3939073603,0.3439073603,0.2439073603
105,S72_SL4_TP8,ADA/USDT,-0.6727828746,-0.8727828746,0.2000000000,-0.7727828746,-0.8227828746,-0.8727828746,-0.9727828746
106,S72_SL4_TP8,RLUSD/USDT,0.0099870169,-0.1900129831,0.2000000000,-0.0900129831,-0.1400129831,-0.1900129831,-0.2900129831
107,S72_SL4_TP8,UNI/USDT,1.1448481832,0.9448481832,0.2000000000,1.0448481832,0.9948481832,0.9448481832,0.8448481832
108,S72_SL4_TP8,ALPINE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
109,S72_SL4_TP8,MUBARAK/USDT,1.0619469027,0.8619469027,0.2000000000,0.9619469027,0.9119469027,0.8619469027,0.7619469027
110,S72_SL4_TP8,USDC/USDT,-0.0259719503,-0.2259719503,0.2000000000,-0.1259719503,-0.1759719503,-0.2259719503,-0.3259719503
111,S72_SL4_TP8,U/USDT,-0.0199820162,-0.2199820162,0.2000000000,-0.1199820162,-0.1699820162,-0.2199820162,-0.3199820162
