block,start,end,trades,avg_pct,pf
1,2026-07-18T13:00:00+00:00,2026-07-28T17:00:00+00:00,5291,-1.0052494745052085,0.47811083304888125
2,2026-07-28T17:00:00+00:00,2026-08-02T16:00:00+00:00,5291,0.37241758568088273,1.2639872903496965
3,2026-08-02T16:00:00+00:00,2026-08-06T18:00:00+00:00,5291,0.7554986145756099,1.4974413773325812
4,2026-08-06T18:00:00+00:00,2026-08-11T02:00:00+00:00,5291,0.6281616947779247,1.4036569058628026
5,2026-08-11T02:00:00+00:00,2026-08-15T14:00:00+00:00,5291,1.0136674613052774,1.7820363168895086
6,2026-08-15T14:00:00+00:00,2026-08-21T09:00:00+00:00,5294,3.6787706221956933,3.5917957291867038
