scenario,n,avg,median,win_rate,pf,compound_final,dd
CD12_E1_P15,483,0.9607244968770176,-0.20199772259623644,43.2712215320911,1.6386522190724473,27210.179096133794,-63.54947778424275
CD12_E1_P5,184,0.18566105802376606,-0.2199740337561094,42.93478260869565,1.113581994687621,1165.6907829750437,-54.139554417184634
CD12_E1_P7,256,1.2721618954390796,-0.20999050901643318,45.703125,1.7767324027492386,8898.892102476662,-55.83946360630891
CD12_E2_P10,347,0.5555541929432063,-0.23004807692307266,42.07492795389049,1.3487557166549728,4567.545462681038,-63.42057764159399
CD12_E2_P15,490,1.0422188959359466,-0.20499525450823325,42.857142857142854,1.7179589383604228,43017.8621614951,-65.49613406068724
CD12_E2_P5,185,0.3652758260665658,-0.2179964007198663,44.32432432432432,1.2272419638091894,1607.6343386054684,-55.83660811818412
CD12_E2_P7,256,1.1352543694376402,-0.2120012001200154,44.140625,1.6991948968049098,6217.1952091042185,-54.79494413588504
CD24_E1_P10,345,0.4622018150481455,-0.2199740337561094,42.608695652173914,1.2858375375966669,3299.4320980880834,-67.33987569392347
CD24_E1_P15,477,0.33875102579400485,-0.22254791431792748,41.509433962264154,1.221859944367422,3094.67717666051,-76.46558656065964
CD24_E1_P5,188,0.6372802538125591,-0.2099870168780547,43.61702127659574,1.4007562071683795,2633.1784240678753,-54.31318854453655
CD24_E1_P7,247,1.2705505359331444,-0.20999050901643318,42.91497975708502,1.8482016281037212,8291.239437189492,-54.245491177663794
CD24_E2_P10,345,0.4622018150481455,-0.2199740337561094,42.608695652173914,1.2858375375966669,3299.4320980880834,-67.33987569392347
CD24_E2_P15,477,0.33875102579400485,-0.22254791431792748,41.509433962264154,1.221859944367422,3094.67717666051,-76.46558656065964
CD24_E2_P5,188,0.6372802538125591,-0.2099870168780547,43.61702127659574,1.4007562071683795,2633.1784240678753,-54.31318854453655
CD24_E2_P7,247,1.2705505359331444,-0.20999050901643318,42.91497975708502,1.8482016281037212,8291.239437189492,-54.245491177663794
CD6_E1_P10,349,1.2932036236269209,-0.20999200639488774,42.97994269340974,1.8453355155623106,26787.588430372485,-60.950763766232654
CD6_E1_P15,490,1.1746980847383137,-0.19900002999908556,44.48979591836735,1.82151477620399,80269.81618952993,-63.122158346321264
CD6_E1_P5,194,0.6022361826156132,-0.20999200639488774,44.329896907216494,1.365641335206976,2515.8581623828372,-59.4856522604681
CD6_E1_P7,257,1.2655887822588097,-0.20999200639488774,44.3579766536965,1.7944525127404625,9002.005989210333,-57.65892325101927
CD6_E2_P10,353,0.8460976281639042,-0.209990009990013,43.90934844192635,1.5638924270467942,12710.557050254385,-59.62176529457652
CD6_E2_P15,496,1.0607094210339332,-0.2,44.354838709677416,1.711426063567799,48735.69853193524,-67.53051957132223
CD6_E2_P5,194,0.5965882496402029,-0.2100170289492163,44.329896907216494,1.3611429169184261,2488.467254564232,-59.926744203113
CD6_E2_P7,256,0.3524127968151459,-0.21998201618542695,41.796875,1.2060048023130683,1827.936141258181,-60.370620911863426
COST_0.15,344,0.9958732288873624,-0.31200120012001537,41.56976744186046,1.600883604430117,9206.717300186823,-65.6376385677357
COST_0.20,344,0.8958732288873623,-0.4120012001200154,40.116279069767444,1.5218643903405453,6535.1061016611375,-67.48065297693746
COST_0.30,344,0.6958732288873627,-0.6120012001200154,38.372093023255815,1.378561702525996,3289.2818491112257,-73.98310749556597
ROBUST_72_SL5_TP10_CD6_P7,267,1.41147814772825,-0.2,46.441947565543074,1.9106045702300778,14764.537644822964,-67.26769048413924
ROBUST_78_SL4_TP12_CD6_P7,210,1.1747249064926308,-0.19600375646890972,43.80952380952381,1.9006905229586692,8871.80055048043,-44.0229600652555
ROBUST_78_SL5_TP10_CD24_P5,147,0.8960003608866504,-0.2,45.57823129251701,1.6438400866410194,3136.3786504203035,-27.18576212149325
ROBUST_78_SL5_TP10_CD6_P7,211,1.4421638502950145,-0.2,45.497630331753555,1.9439096362705754,7704.566447497734,-39.49077458496269
ROBUST_78_SL5_TP12_CD24_P5,143,1.0448941831884682,-0.19001098791329146,48.95104895104895,1.7359054782430108,3658.1800313797994,-27.18576212149325
