stress,trades,wins,losses,win_rate,avg,median,pf,dd,pnl,best,worst
BASE,31749,15101,16200,47.56370279378878,1.1150574627449767,-0.009990509016433169,1.7928760718060581,-71.9066521513175,288113.5938469027,188.4162743779422,-6.000000000000016
COST_0_15,31749,13955,17794,43.954140287883085,0.9650574627449766,-0.15999050901643316,1.6483163354785801,-75.28406643501637,288113.5938469027,188.26627437794218,-6.150000000000016
COST_0_20,31749,13807,17942,43.48798387350783,0.9150574627449768,-0.20999050901643318,1.6032980731272675,-76.46558656065967,288113.5938469027,188.2162743779422,-6.200000000000016
COST_0_30,31749,13588,18161,42.79819836845255,0.8150574627449767,-0.30999050901643316,1.5179444019867725,-79.87770514814217,288113.5938469027,188.11627437794218,-6.300000000000016
SLIPPAGE_0_10,31749,14180,17569,44.662824025953576,1.0150574627449769,-0.10999050901643317,1.6948879648193234,-74.20541088487556,288113.5938469027,188.3162743779422,-6.100000000000016
SLIPPAGE_0_20,31749,13807,17942,43.48798387350783,0.9150574627449768,-0.20999050901643318,1.6032980731272675,-76.46558656065967,288113.5938469027,188.2162743779422,-6.200000000000016
HALF_RETURN,31749,15101,16200,47.56370279378878,0.5575287313724884,-0.0049952545082165845,1.7928760718060581,-46.269490272400034,288113.5938469027,94.2081371889711,-3.000000000000008
WORSE_EXIT_0_20,31749,13807,17942,43.48798387350783,0.9150574627449768,-0.20999050901643318,1.6032980731272675,-76.46558656065967,288113.5938469027,188.2162743779422,-6.200000000000016
