scenario,trades,return_sum_pct,median_pct,mean_pct,win_rate_pct,profit_factor,p10_pct,p90_pct
S78_SL4_TP10,301,269.03778546,-0.19134724,0.89381324,45.5150,1.703190,-4.20000000,9.80000000
S78_SL4_TP12,300,519.48487899,-0.20898909,1.73161626,45.3333,2.301529,-4.20000000,11.80000000
S78_SL4_TP15,291,288.87541090,-0.21997603,0.99269901,42.2680,1.725381,-4.20000000,10.87491857
S78_SL4_TP8,313,470.58657625,-0.19000999,1.50347149,47.6038,2.236049,-4.20000000,7.80000000
S78_SL5_TP10,294,149.21856579,-0.20998876,0.50754614,42.8571,1.343114,-5.20000000,9.80000000
S78_SL5_TP12,289,229.88712569,-0.21001803,0.79545718,43.5986,1.532628,-5.20000000,11.80000000
S78_SL5_TP15,284,469.24858685,-0.20399608,1.65228376,43.6620,2.150154,-5.20000000,14.80000000
S78_SL5_TP8,299,154.78702748,-0.19001099,0.51768237,45.8194,1.379865,-5.20000000,7.80000000
S78_SL6_TP10,284,242.76640298,-0.19001149,0.85481128,46.4789,1.583183,-6.20000000,9.80000000
S78_SL6_TP12,282,244.30879240,-0.18501399,0.86634324,46.4539,1.579415,-6.20000000,11.80000000
S78_SL6_TP15,274,268.17667049,-0.20799516,0.97874697,43.4307,1.632913,-6.20000000,12.36684800
S78_SL6_TP8,292,331.70485653,-0.06463824,1.13597554,49.6575,1.771244,-6.20000000,7.80000000
S80_SL4_TP10,307,437.67083889,-0.21001703,1.42563791,42.6710,2.078685,-4.20000000,9.80000000
S80_SL4_TP12,296,409.17226621,-0.21499880,1.38233874,41.2162,2.008797,-4.20000000,11.80000000
S80_SL4_TP15,297,501.66802080,-0.20999500,1.68911792,41.7508,2.234537,-4.20000000,14.80000000
S80_SL4_TP8,313,187.46730419,-0.20000000,0.59893707,45.6869,1.461737,-4.20000000,7.80000000
S80_SL5_TP10,290,433.89165885,-0.19001049,1.49617813,45.1724,2.088216,-5.20000000,9.80000000
S80_SL5_TP12,289,471.48330064,-0.20000000,1.63143011,43.9446,2.122405,-5.20000000,11.80000000
S80_SL5_TP15,280,344.04604867,-0.20000000,1.22873589,44.2857,1.897182,-5.20000000,14.80000000
S80_SL5_TP8,303,367.41247555,-0.19000799,1.21258243,46.5347,1.851667,-5.20000000,7.80000000
S80_SL6_TP10,279,156.58784137,-0.20099995,0.56124674,44.8029,1.362898,-6.20000000,9.80000000
S80_SL6_TP12,281,152.13918970,-0.20000000,0.54142060,44.1281,1.322925,-6.20000000,11.80000000
S80_SL6_TP15,274,267.93607761,-0.20000000,0.97786890,43.4307,1.635294,-6.20000000,14.28176292
S80_SL6_TP8,294,100.35402887,-0.20000000,0.34134023,45.9184,1.210726,-6.20000000,7.80000000
S82_SL4_TP10,304,269.11008424,-0.21997603,0.88523054,40.7895,1.647249,-4.20000000,9.80000000
S82_SL4_TP12,295,282.68191191,-0.21997403,0.95824377,41.6949,1.689364,-4.20000000,11.80000000
S82_SL4_TP15,293,457.10811851,-0.25512679,1.56009597,37.8840,2.096479,-4.20000000,14.47326733
S82_SL4_TP8,312,233.02203921,-0.20149870,0.74686551,44.2308,1.565696,-4.20000000,7.80000000
S82_SL5_TP10,287,219.09561045,-0.20000000,0.76339934,44.9477,1.496665,-5.20000000,9.80000000
S82_SL5_TP12,287,305.48517401,-0.20000000,1.06440827,44.2509,1.719576,-5.20000000,11.80000000
S82_SL5_TP15,280,287.66578664,-0.20799491,1.02737781,41.7857,1.678335,-5.20000000,12.65135135
S82_SL5_TP8,301,203.87109774,-0.20000000,0.67731262,45.1827,1.474003,-5.20000000,7.80000000
S82_SL6_TP10,284,198.82928097,-0.20000000,0.70010310,44.3662,1.433805,-6.20000000,9.80000000
S82_SL6_TP12,286,210.41040362,-0.21549379,0.73570071,43.0070,1.429527,-6.20000000,11.80000000
S82_SL6_TP15,273,225.54115178,-0.20998702,0.82615807,43.2234,1.500223,-6.20000000,10.28733964
S82_SL6_TP8,290,149.96750305,-0.20000000,0.51712932,45.8621,1.339245,-6.20000000,7.80000000
S85_SL4_TP10,275,218.93505221,-0.20999201,0.79612746,42.5455,1.588880,-4.20000000,9.80000000
S85_SL4_TP12,276,488.68179183,-0.20799342,1.77058620,44.2029,2.314027,-4.20000000,11.80000000
S85_SL4_TP15,270,346.56795706,-0.21997802,1.28358503,42.9630,1.934923,-4.20000000,12.35069117
S85_SL4_TP8,288,369.07476282,-0.20998801,1.28150959,44.7917,1.949626,-4.20000000,7.80000000
S85_SL5_TP10,274,161.90258280,-0.20998951,0.59088534,43.0657,1.384819,-5.20000000,9.80000000
S85_SL5_TP12,271,268.97998888,-0.20000000,0.99254608,44.6494,1.670299,-5.20000000,11.80000000
S85_SL5_TP15,261,216.31632288,-0.20599982,0.82879817,42.9119,1.541443,-5.20000000,9.08091565
S85_SL5_TP8,280,277.19923399,-0.20149870,0.98999726,44.2857,1.636597,-5.20000000,7.80000000
S85_SL6_TP10,270,174.23994012,-0.20000000,0.64533311,45.1852,1.399380,-6.20000000,9.80000000
S85_SL6_TP12,267,234.93976481,-0.20000000,0.87992421,45.3184,1.548086,-6.20000000,11.80000000
S85_SL6_TP15,258,148.53889366,-0.22498002,0.57573215,40.6977,1.313467,-6.20000000,9.20383681
S85_SL6_TP8,274,246.32699770,-0.20449861,0.89900364,44.5255,1.548885,-6.20000000,7.80000000
