metric,value
rows_read,31749
valid_trades,31749
code_findings,1610
strong_candidates,81
medium_candidates,1236
median_implicit_cost_pp,0.2
mean_implicit_cost_pp,0.2075844908501055
compatible_0.00pp,0
compatible_0.10pp,0
compatible_0.15pp,0
compatible_0.20pp,30717
compatible_0.25pp,0
compatible_0.30pp,344
compatible_0.40pp,344
compatible_0.50pp,0
compatible_0.60pp,344
verdict,ORIGEM_FORMULA_020PP_LOCALIZADA_COM_CANDIDATO
