signal_id,symbol,entry_time,entry_price,quantity,entry_cost_usdt,buy_order_id,score,confidence,target_reached
20260918130000+0000_c54215cb12,PEPE/USDT,2026-09-18T21:44:01.896464+00:00,0.000003890000,1799485.000000000000,6.999997,5419571867,76.00,81.00,0
20260918130000+0000_31cd85b58f,FET/USDT,2026-09-18T21:44:03.553553+00:00,0.184300000000,37.900000000000,6.984970,3673024038,74.00,63.00,0
20260918130000+0000_8a011166a6,POL/USDT,2026-09-18T21:44:04.118810+00:00,0.106360000000,65.800000000000,6.998488,1153740865,79.00,74.00,0
20260918170000+0000_53c6f1e26b,G/USDT,2026-09-19T08:58:10.546112+00:00,0.008380000000,835.000000000000,6.997300,363318877,69.00,44.00,0
20260919130000+0000_d9feb466db,ENA/USDT,2026-09-19T14:48:54.748565+00:00,0.199500000000,35.080000000000,6.998460,3419329567,72.00,76.00,0
