window,start,end,trades,wins,losses,win_rate,avg,median,pf,dd,pnl,best,worst
0,2026-07-18T13:00:00+00:00,2026-07-22T18:30:00+00:00,1789,676,1113,37.78647288988262,-0.23577465997563385,-1.4214983713355054,0.8758465687115732,-99.99546434147591,-4218.008666964089,14.799999999999992,-6.200000000000016
1,2026-07-22T18:30:00+00:00,2026-07-27T00:00:00+00:00,1781,605,1176,33.96967995508142,-1.2684347685019361,-0.4651131963581799,0.333033368696046,-99.99999999471602,-22590.82322701948,14.799999999999992,-6.2000000000000055
2,2026-07-27T00:00:00+00:00,2026-07-31T05:30:00+00:00,4128,1149,2979,27.834302325581394,-0.5971750749196634,-0.3000700490343287,0.6563903863798495,-99.99999999999997,-24651.387092683704,14.799999999999992,-6.200000000000016
3,2026-07-31T05:30:00+00:00,2026-08-04T11:00:00+00:00,5191,2261,2930,43.55615488345213,0.6872314815754719,-0.20999200639488774,1.4850721465432788,-99.99095509812635,35674.186208582745,14.799999999999992,-6.200000000000016
4,2026-08-04T11:00:00+00:00,2026-08-08T16:30:00+00:00,5372,3011,2361,56.04988830975428,1.4056882782193731,0.5736943907156624,2.133415807468251,-99.99999926776907,75513.57430594473,14.799999999999992,-6.200000000000016
5,2026-08-08T16:30:00+00:00,2026-08-12T22:00:00+00:00,4923,1784,3139,36.238066219784685,-0.15278171705457136,-0.7512679162072764,0.9115086611648987,-99.99999999999069,-7521.443930596546,14.799999999999992,-6.200000000000016
6,2026-08-12T22:00:00+00:00,2026-08-17T03:30:00+00:00,5448,2603,2845,47.77900146842878,1.6528588482325974,-0.11366658033324911,2.387176280596402,-99.9993488045396,90047.75005171192,14.799999999999992,-6.200000000000016
7,2026-08-17T03:30:00+00:00,2026-08-21T09:00:00+00:00,3210,1780,1430,55.45171339563863,4.78623791160384,1.0334632876772611,3.8820714044933697,-99.99994509947578,153638.2369624833,188.2162743779422,-6.200000000000016
