trade_row,scenario,symbol,entry_time,exit_time,entry_price,exit_price,entry_exec,exit_exec,quantity,notional,entry_fee,exit_fee,gross_pnl,net_pnl,net_return_pct,exit_reason
4,S72_SL4_TP8,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
400,S72_SL4_TP10,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
775,S72_SL4_TP12,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
1151,S72_SL4_TP15,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
4377,S75_SL4_TP8,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
4734,S75_SL4_TP10,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
5079,S75_SL4_TP12,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
5429,S75_SL4_TP15,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T05:00:00+00:00,36.519,35.05824,36.555519,35.02318176,2.735565045595441,100.0,0.1,0.09580819180819182,-4.1918081918081835,-4.387616383616375,-4.387616383616375,STOP
1519,S72_SL5_TP8,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T06:00:00+00:00,36.519,34.69305,36.555519,34.65835695,2.735565045595441,100.0,0.1,0.09481018981018981,-5.189810189810187,-5.384620379620376,-5.384620379620376,STOP
1890,S72_SL5_TP10,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T06:00:00+00:00,36.519,34.69305,36.555519,34.65835695,2.735565045595441,100.0,0.1,0.09481018981018981,-5.189810189810187,-5.384620379620376,-5.384620379620376,STOP
11,S72_SL4_TP8,PEPE/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,2.8e-06,2.82e-06,2.8027999999999997e-06,2.81718e-06,35678607.10717854,100.0,0.1,0.10051305837020125,0.5130583702012463,0.3125453118310451,0.3125453118310451,TIME
12,S72_SL4_TP8,TAO/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,198.7,194.3,198.89869999999996,194.1057,0.5027684947161546,100.0,0.1,0.0975902306048255,-2.4097693951745036,-2.607359625779329,-2.607359625779329,TIME
407,S72_SL4_TP10,PEPE/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,2.8e-06,2.82e-06,2.8027999999999997e-06,2.81718e-06,35678607.10717854,100.0,0.1,0.10051305837020125,0.5130583702012463,0.3125453118310451,0.3125453118310451,TIME
408,S72_SL4_TP10,TAO/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,198.7,194.3,198.89869999999996,194.1057,0.5027684947161546,100.0,0.1,0.0975902306048255,-2.4097693951745036,-2.607359625779329,-2.607359625779329,TIME
782,S72_SL4_TP12,PEPE/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,2.8e-06,2.82e-06,2.8027999999999997e-06,2.81718e-06,35678607.10717854,100.0,0.1,0.10051305837020125,0.5130583702012463,0.3125453118310451,0.3125453118310451,TIME
783,S72_SL4_TP12,TAO/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,198.7,194.3,198.89869999999996,194.1057,0.5027684947161546,100.0,0.1,0.0975902306048255,-2.4097693951745036,-2.607359625779329,-2.607359625779329,TIME
1158,S72_SL4_TP15,PEPE/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,2.8e-06,2.82e-06,2.8027999999999997e-06,2.81718e-06,35678607.10717854,100.0,0.1,0.10051305837020125,0.5130583702012463,0.3125453118310451,0.3125453118310451,TIME
1159,S72_SL4_TP15,TAO/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,198.7,194.3,198.89869999999996,194.1057,0.5027684947161546,100.0,0.1,0.0975902306048255,-2.4097693951745036,-2.607359625779329,-2.607359625779329,TIME
1526,S72_SL5_TP8,PEPE/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,2.8e-06,2.82e-06,2.8027999999999997e-06,2.81718e-06,35678607.10717854,100.0,0.1,0.10051305837020125,0.5130583702012463,0.3125453118310451,0.3125453118310451,TIME
1527,S72_SL5_TP8,TAO/USDT,2026-07-19T06:00:00+00:00,2026-07-20T06:00:00+00:00,198.7,194.3,198.89869999999996,194.1057,0.5027684947161546,100.0,0.1,0.0975902306048255,-2.4097693951745036,-2.607359625779329,-2.607359625779329,TIME
27,S72_SL4_TP8,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
423,S72_SL4_TP10,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
798,S72_SL4_TP12,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
1173,S72_SL4_TP15,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
1541,S72_SL5_TP8,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
1912,S72_SL5_TP10,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
2275,S72_SL5_TP12,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
2630,S72_SL5_TP15,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
2978,S72_SL6_TP8,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
3343,S72_SL6_TP10,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,1411.3599499999998,1497.8007,0.07085364722160355,100.0,0.1,0.10612464240607085,6.1246424060708415,5.918517763664771,5.918517763664771,TIME
39,S72_SL4_TP8,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
435,S72_SL4_TP10,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
809,S72_SL4_TP12,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
1184,S72_SL4_TP15,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
1552,S72_SL5_TP8,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
1923,S72_SL5_TP10,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
2285,S72_SL5_TP12,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
2640,S72_SL5_TP15,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
2989,S72_SL6_TP8,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
3354,S72_SL6_TP10,GIGGLE/USDT,2026-07-21T10:00:00+00:00,2026-07-22T10:00:00+00:00,26.85,26.34,26.876849999999997,26.31366,3.7206741117355646,100.0,0.1,0.09790455354701166,-2.095446452988348,-2.2933510065353597,-2.2933510065353597,TIME
47,S72_SL4_TP8,ONDO/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.4109,0.4035,0.4113108999999999,0.4030965,243.125091019956,100.0,0.1,0.0980028732523257,-1.997126747674302,-2.1951296209266276,-2.1951296209266276,TIME
48,S72_SL4_TP8,UNI/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,3.767,3.831,3.7707669999999993,3.827169,26.51980353068753,100.0,0.1,0.10149576995873787,1.4957699587378575,1.2942741887791196,1.2942741887791196,TIME
49,S72_SL4_TP8,CHIP/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.03093,0.03021,0.030960929999999994,0.03017979,3229.8771387035213,100.0,0.1,0.09747701377187315,-2.522986228126845,-2.720463241898718,-2.720463241898718,TIME
443,S72_SL4_TP10,ONDO/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.4109,0.4035,0.4113108999999999,0.4030965,243.125091019956,100.0,0.1,0.0980028732523257,-1.997126747674302,-2.1951296209266276,-2.1951296209266276,TIME
444,S72_SL4_TP10,UNI/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,3.767,3.831,3.7707669999999993,3.827169,26.51980353068753,100.0,0.1,0.10149576995873787,1.4957699587378575,1.2942741887791196,1.2942741887791196,TIME
445,S72_SL4_TP10,CHIP/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.03093,0.03021,0.030960929999999994,0.03017979,3229.8771387035213,100.0,0.1,0.09747701377187315,-2.522986228126845,-2.720463241898718,-2.720463241898718,TIME
816,S72_SL4_TP12,ONDO/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.4109,0.4035,0.4113108999999999,0.4030965,243.125091019956,100.0,0.1,0.0980028732523257,-1.997126747674302,-2.1951296209266276,-2.1951296209266276,TIME
817,S72_SL4_TP12,UNI/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,3.767,3.831,3.7707669999999993,3.827169,26.51980353068753,100.0,0.1,0.10149576995873787,1.4957699587378575,1.2942741887791196,1.2942741887791196,TIME
818,S72_SL4_TP12,CHIP/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.03093,0.03021,0.030960929999999994,0.03017979,3229.8771387035213,100.0,0.1,0.09747701377187315,-2.522986228126845,-2.720463241898718,-2.720463241898718,TIME
1191,S72_SL4_TP15,ONDO/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.4109,0.4035,0.4113108999999999,0.4030965,243.125091019956,100.0,0.1,0.0980028732523257,-1.997126747674302,-2.1951296209266276,-2.1951296209266276,TIME
4412,S75_SL4_TP8,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
4769,S75_SL4_TP10,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
5114,S75_SL4_TP12,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
5464,S75_SL4_TP15,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
5802,S75_SL5_TP8,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
6148,S75_SL5_TP10,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
6492,S75_SL5_TP12,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
6833,S75_SL5_TP15,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
7168,S75_SL6_TP8,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
7510,S75_SL6_TP10,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,1.033032,1.0385604000000002,96.80242238381774,100.0,0.1,0.10053516251190672,0.5351625119067184,0.33462734939481165,0.33462734939481165,TIME
58,S72_SL4_TP8,KAITO/USDT,2026-07-24T10:00:00+00:00,2026-07-24T12:00:00+00:00,1.0396,0.998016,1.0406396,0.997017984,96.09474788389755,100.0,0.1,0.0958081918081918,-4.191808191808194,-4.387616383616385,-4.387616383616385,STOP
