trade_id,scenario,symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional,entry_fee_rate,exit_fee_rate,entry_fee,exit_fee,slippage_entry_pct,slippage_exit_pct,gross_return_pct,net_return_pct,gross_pnl,net_pnl,exit_reason,holding_hours
20260827014214_002_20260827032533,V9.16_FORWARD,BICO/USDT,2026-08-27T00:00:00+00:00,2026-08-27T03:25:33.587228+00:00,0.026796770000,0.029140830000,3731.793048192003,100.00000000,0.00100000,0.00100000,0.10000000,0.10874755,0.00100000,0.00100000,8.74754681,8.53879927,8.74754681,8.53879927,TARGET,3.425996
20260827014214_003_20260827032533,V9.16_FORWARD,ONT/USDT,2026-08-27T00:00:00+00:00,2026-08-27T03:25:33.587228+00:00,0.064604540000,0.061578360000,1547.878833283234,100.00000000,0.00100000,0.00100000,0.10000000,0.09531584,0.00100000,0.00100000,-4.68415997,-4.87947581,-4.68415997,-4.87947581,STOP,3.425996
20260827000000+0000_2bebac6d5a_20260827032533,V9.20_V3_FORWARD,ONT/USDT,2026-08-27T00:00:00+00:00,2026-08-27T03:25:33.587228+00:00,0.064604540000,0.061578360000,1547.878833283234,100.00000000,0.00100000,0.00100000,0.10000000,0.09531584,0.00100000,0.00100000,-4.68415997,-4.87947581,-4.68415997,-4.87947581,STOP,3.425996
20260827014214_001_20260829043200,V9.16_FORWARD,SOL/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,100.690590000000,103.506390000000,0.993141464361,100.00000000,0.00100000,0.00100000,0.10000000,0.10279649,0.00100000,0.00100000,2.79648774,2.59369125,2.79648774,2.59369125,TIME,52.533411
20260827014214_004_20260829043200,V9.16_FORWARD,PROM/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,4.383379000000,5.098896000000,22.813450536675,100.00000000,0.00100000,0.00100000,0.10000000,0.11632341,0.00100000,0.00100000,16.32341169,16.10708828,16.32341169,16.10708828,TARGET,52.533411
20260827014214_005_20260829043200,V9.16_FORWARD,SOXLB/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,121.331210000000,111.977910000000,0.824190247505,100.00000000,0.00100000,0.00100000,0.10000000,0.09229110,0.00100000,0.00100000,-7.70889864,-7.90118974,-7.70889864,-7.90118974,STOP,52.533411
20260827000000+0000_3f769063fd_20260829043200,V9.20_V3_FORWARD,SOXLB/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,121.331210000000,111.977910000000,0.824190247505,100.00000000,0.00100000,0.00100000,0.10000000,0.09229110,0.00100000,0.00100000,-7.70889864,-7.90118974,-7.70889864,-7.90118974,STOP,52.533411
20260827000000+0000_66ddb2455f_20260829043200,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,4.383379000000,5.098896000000,22.813450536675,100.00000000,0.00100000,0.00100000,0.10000000,0.11632341,0.00100000,0.00100000,16.32341169,16.10708828,16.32341169,16.10708828,TARGET,52.533411
20260827000000+0000_dfb2c9c0f6_20260829043200,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,100.690590000000,103.506390000000,0.993141464361,100.00000000,0.00100000,0.00100000,0.10000000,0.10279649,0.00100000,0.00100000,2.79648774,2.59369125,2.79648774,2.59369125,TIME,52.533411
20260827000000+0000_8755a77972_20260829043200,V9.20_V3_FORWARD,WLD/USDT,2026-08-27T00:00:00+00:00,2026-08-29T04:32:00.280848+00:00,0.408007600000,0.375224400000,245.093473749018,100.00000000,0.00100000,0.00100000,0.10000000,0.09196505,0.00100000,0.00100000,-8.03494837,-8.22691342,-8.03494837,-8.22691342,STOP,52.533411
