metric,value
trades_validos,31749
erros_parsing,0
colunas_detectadas,12
cenarios,104
simbolos,82
achados_total,7147
real_data_issues,0
warnings,7146
auditor_defects,1
gross_return_median_pct,-0.00999051
net_return_median_pct,-0.20999201
implicit_cost_median_pct,0.20000000
implicit_cost_mean_pct,0.20758449
category_AUDITOR_SCHEMA_COMPATIBILITY,1
category_OUTLIER,42
category_SCENARIO_ORDER,7104
previous_audit_rows,728
previous_audit_columns,4
