block,trades,avg_pct,pf,sum_pct
2026-07-18,166,-4.395639589040021,0.010055344870547595,-729.6761717806436
2026-07-19,378,1.3788533625668913,2.0498752231990873,521.2065710502849
2026-07-20,317,0.45141117180772694,1.34972157646215,143.09734146304945
2026-07-21,482,0.412264249401931,1.2375796354070756,198.71136821173076
2026-07-22,446,-1.2447084655624001,0.3954751923630821,-555.1399756408305
2026-07-23,265,-3.5835854093018216,0.020849091172457146,-949.6501334649827
2026-07-24,301,-2.4294621869824056,0.28477735391143355,-731.2681182817041
2026-07-25,200,-1.6942236682572858,0.30179242346011736,-338.84473365145715
2026-07-26,1015,-0.23578259832887102,0.736863547605471,-239.31933730380408
2026-07-27,921,-1.9424307553247224,0.10872648688298432,-1788.9787256540694
2026-07-28,982,-1.0258091007230001,0.41833908216895954,-1007.3445369099861
2026-07-29,936,0.08969631453738054,1.0652621816956414,83.95575040698819
2026-07-30,1079,0.3397014011719991,1.2244402513075563,366.537811864587
2026-07-31,1214,0.9819861364568067,1.8514993131645843,1192.1311696585633
2026-08-01,1091,-0.012372475356688353,0.9928411178730095,-13.498370614146994
2026-08-02,1178,-0.05199424258193064,0.9670501255055038,-61.249217761514295
2026-08-03,1362,0.7568121425949202,1.4900452129735091,1030.7781382142814
2026-08-04,1129,1.9253115732844281,3.434134644903471,2173.6767662381194
2026-08-05,1317,-0.3447942170122275,0.8371367831070692,-454.0939838051036
2026-08-06,1425,0.8727808127439896,1.5775469011276027,1243.7126581601851
2026-08-07,1119,1.9082910749926596,3.422046907519454,2135.377712916786
2026-08-08,1214,2.9762187714426798,5.261944924763978,3613.129588531413
2026-08-09,1158,-0.43563526631686306,0.7740695283518558,-504.4656383949274
2026-08-10,1229,-1.600803263880349,0.3865092641363206,-1967.387211308949
2026-08-11,1086,1.0860143549501748,2.0267889449453724,1179.41158947589
2026-08-12,1158,0.5934128433626957,1.4210898879523068,687.1720726140016
2026-08-13,1202,2.0411032448732316,2.6193640775251263,2453.4061003376246
2026-08-14,1224,-0.3427594431260017,0.7656475533639145,-419.53755838622607
2026-08-15,1417,2.595469108197127,3.7448572573333583,3677.779726315329
2026-08-16,1302,1.655599509095246,2.4408343298885646,2155.5905608420103
2026-08-17,1213,0.08256779975532451,1.0341574322892932,100.15474110320864
2026-08-18,1458,1.2237152605434718,1.7508099934903443,1784.176849872382
2026-08-19,642,20.477423117263417,70.23250854441451,13146.505641283113
2026-08-20,53,4.465233175031893,3.297644255113498,236.65735827669033
2026-08-21,70,6.4091940116053605,6.6291540879846265,448.6435808123752
