row,scenario,gross_return_pct,recorded_return_pct,implicit_cost_pp
2,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
3,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
4,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
5,S72_SL4_TP8,-3.4821145932257047,-3.682114593225705,0.20000000000000018
6,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
7,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
8,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
9,S72_SL4_TP8,-1.2214983713355054,-1.4214983713355054,0.19999999999999996
10,S72_SL4_TP8,-2.2226795636962393,-2.4226795636962395,0.20000000000000018
11,S72_SL4_TP8,0.7142857142857117,0.5142857142857118,0.19999999999999996
12,S72_SL4_TP8,-2.214393558127825,-2.4143935581278253,0.20000000000000018
13,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
14,S72_SL4_TP8,-1.219673869813065,-1.4196738698130649,0.19999999999999996
15,S72_SL4_TP8,-0.20761245674740803,-0.40761245674740804,0.2
16,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
17,S72_SL4_TP8,-1.414695945945954,-1.614695945945954,0.19999999999999996
18,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
19,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
20,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
21,S72_SL4_TP8,-1.8839623207535738,-2.083962320753574,0.20000000000000018
22,S72_SL4_TP8,0.7046395497687818,0.5046395497687819,0.19999999999999996
23,S72_SL4_TP8,2.0185229161719276,1.8185229161719276,0.19999999999999996
24,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
25,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
26,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
27,S72_SL4_TP8,6.3371041526295135,6.137104152629513,0.20000000000000018
28,S72_SL4_TP8,2.7488923049100222,2.548892304910022,0.20000000000000018
29,S72_SL4_TP8,2.244348193534762,2.044348193534762,0.20000000000000018
30,S72_SL4_TP8,1.1704834605597902,0.9704834605597903,0.19999999999999996
31,S72_SL4_TP8,1.0979729729729826,0.8979729729729826,0.19999999999999996
32,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
33,S72_SL4_TP8,-0.7812500000000111,-0.9812500000000111,0.19999999999999996
34,S72_SL4_TP8,-2.034883720930236,-2.2348837209302364,0.20000000000000018
35,S72_SL4_TP8,-1.0706638115631661,-1.270663811563166,0.19999999999999996
36,S72_SL4_TP8,-3.9999999999999925,-4.199999999999992,0.19999999999999973
37,S72_SL4_TP8,-2.813852813852813,-3.013852813852813,0.20000000000000018
38,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
39,S72_SL4_TP8,-1.8994413407821265,-2.0994413407821266,0.20000000000000018
40,S72_SL4_TP8,-0.3205128205128194,-0.5205128205128193,0.19999999999999996
41,S72_SL4_TP8,2.873703477730327,2.673703477730327,0.20000000000000018
42,S72_SL4_TP8,-2.8148436739066973,-3.0148436739066975,0.20000000000000018
43,S72_SL4_TP8,-0.06587615283267789,-0.2658761528326779,0.2
44,S72_SL4_TP8,-1.6274864376130127,-1.8274864376130127,0.19999999999999996
45,S72_SL4_TP8,-3.9999999999999925,-4.199999999999992,0.19999999999999973
46,S72_SL4_TP8,1.0912698412698374,0.8912698412698374,0.19999999999999996
47,S72_SL4_TP8,-1.8009247992212152,-2.0009247992212154,0.20000000000000018
48,S72_SL4_TP8,1.6989646933899705,1.4989646933899705,0.19999999999999996
49,S72_SL4_TP8,-2.3278370514064006,-2.527837051406401,0.20000000000000018
50,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
51,S72_SL4_TP8,-3.9999999999999925,-4.199999999999992,0.19999999999999973
52,S72_SL4_TP8,-3.9999999999999925,-4.199999999999992,0.19999999999999973
53,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
54,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
55,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
56,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
57,S72_SL4_TP8,-2.501525320317266,-2.701525320317266,0.20000000000000018
58,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
59,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
60,S72_SL4_TP8,-2.7923211169284423,-2.9923211169284425,0.20000000000000018
61,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
62,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
63,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
64,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
65,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
66,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
67,S72_SL4_TP8,-0.10695187165776776,-0.30695187165776777,0.2
68,S72_SL4_TP8,5.9228650137741035,5.722865013774103,0.20000000000000018
69,S72_SL4_TP8,-3.2994923857867953,-3.4994923857867954,0.20000000000000018
70,S72_SL4_TP8,0.31847133757962887,0.11847133757962885,0.2
71,S72_SL4_TP8,2.9736618521665426,2.7736618521665424,0.20000000000000018
72,S72_SL4_TP8,0.9199632014719406,0.7199632014719406,0.19999999999999996
73,S72_SL4_TP8,0.819672131147553,0.619672131147553,0.19999999999999996
74,S72_SL4_TP8,0.7877892663712416,0.5877892663712416,0.19999999999999996
75,S72_SL4_TP8,0.0,-0.2,0.2
76,S72_SL4_TP8,0.39084324183302765,0.19084324183302764,0.2
77,S72_SL4_TP8,-1.4826175869120606,-1.6826175869120605,0.19999999999999996
78,S72_SL4_TP8,2.8144329896907294,2.6144329896907292,0.20000000000000018
79,S72_SL4_TP8,0.09414718343010442,-0.10585281656989559,0.2
80,S72_SL4_TP8,-2.1724818959841907,-2.372481895984191,0.20000000000000018
81,S72_SL4_TP8,-0.26511319635817987,-0.4651131963581799,0.2
82,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
83,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
84,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
85,S72_SL4_TP8,-2.965328467153283,-3.1653284671532833,0.20000000000000018
86,S72_SL4_TP8,-0.0199740337561094,-0.2199740337561094,0.2
87,S72_SL4_TP8,0.7392197125256628,0.5392197125256628,0.19999999999999996
88,S72_SL4_TP8,-0.009990509016433169,-0.20999050901643318,0.2
89,S72_SL4_TP8,-0.012001200120015376,-0.2120012001200154,0.2
90,S72_SL4_TP8,-1.5503875968992165,-1.7503875968992164,0.19999999999999996
91,S72_SL4_TP8,-0.45662100456620447,-0.6566210045662044,0.19999999999999996
92,S72_SL4_TP8,0.019986009793138138,-0.18001399020686187,0.2
93,S72_SL4_TP8,0.0,-0.2,0.2
94,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
95,S72_SL4_TP8,-0.1000700490343287,-0.3000700490343287,0.2
96,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
97,S72_SL4_TP8,3.6170212765957555,3.4170212765957553,0.20000000000000018
98,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
99,S72_SL4_TP8,-3.693737769080241,-3.893737769080241,0.20000000000000018
100,S72_SL4_TP8,-2.6676829268292623,-2.8676829268292625,0.20000000000000018
101,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
102,S72_SL4_TP8,0.7503062742850508,0.5503062742850509,0.19999999999999996
103,S72_SL4_TP8,8.000000000000007,7.800000000000007,0.20000000000000018
104,S72_SL4_TP8,0.5439073602947708,0.3439073602947708,0.2
105,S72_SL4_TP8,-0.67278287461775,-0.87278287461775,0.19999999999999996
106,S72_SL4_TP8,0.009987016878065802,-0.1900129831219342,0.2
107,S72_SL4_TP8,1.1448481831757062,0.9448481831757063,0.19999999999999996
108,S72_SL4_TP8,-4.000000000000014,-4.200000000000014,0.20000000000000018
109,S72_SL4_TP8,1.0619469026548645,0.8619469026548645,0.19999999999999996
110,S72_SL4_TP8,-0.02597195029367949,-0.2259719502936795,0.2
111,S72_SL4_TP8,-0.019982016185426943,-0.21998201618542695,0.2
112,S72_SL4_TP8,-0.015997440409531993,-0.215997440409532,0.2
113,S72_SL4_TP8,-4.0000000000000036,-4.200000000000004,0.20000000000000018
114,S72_SL4_TP8,-2.6156941649899346,-2.8156941649899347,0.20000000000000018
115,S72_SL4_TP8,-1.077199281867136,-1.277199281867136,0.19999999999999996
