scenario,symbol,entry_time,exit_time,entry_price,exit_price,score,return_pct,pnl,reason
V7_BASE,ACE/USDT,2026-07-18T16:00:00+00:00,2026-07-18T20:00:00+00:00,0.0711,0.0662,75.0,-6.984810126582275,-6.977825316455693,STOP_LOSS
V7_BASE,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T06:00:00+00:00,36.519,34.466,75.0,-5.7161094224923925,-5.7103933130699005,STOP_LOSS
V7_BASE,CHIP/USDT,2026-07-18T13:00:00+00:00,2026-07-19T13:00:00+00:00,0.03159,0.03049,75.0,-3.578632478632482,-3.5750538461538497,24H
V7_BASE,ACE/USDT,2026-07-19T23:00:00+00:00,2026-07-20T01:00:00+00:00,0.0844,0.1005,75.0,18.956753554502377,18.629806251485007,TAKE_PROFIT
V7_BASE,ONG/USDT,2026-07-19T02:00:00+00:00,2026-07-20T02:00:00+00:00,0.04859,0.04751,75.0,-2.320456884132544,-2.3019608761993595,24H
V7_BASE,PEPE/USDT,2026-07-19T07:00:00+00:00,2026-07-20T07:00:00+00:00,2.81e-06,2.82e-06,75.0,0.25551601423487097,0.25202169721173107,24H
V7_BASE,HEMI/USDT,2026-07-19T13:00:00+00:00,2026-07-20T08:00:00+00:00,0.00457,0.00505,75.0,10.392778993435439,10.213534638488795,TAKE_PROFIT
V7_BASE,EDEN/USDT,2026-07-19T12:00:00+00:00,2026-07-20T12:00:00+00:00,0.0439,0.04292,75.0,-2.330113895216407,-2.298248351781524,24H
V7_BASE,ALLO/USDT,2026-07-20T16:00:00+00:00,2026-07-20T20:00:00+00:00,0.4872,0.4611,75.0,-5.45178571428572,-5.491167500723336,STOP_LOSS
V7_BASE,EWYB/USDT,2026-07-19T22:00:00+00:00,2026-07-20T22:00:00+00:00,166.67,163.53,75.0,-1.9820783584328108,-1.947893434743449,24H
V7_BASE,DEXE/USDT,2026-07-21T00:00:00+00:00,2026-07-21T02:00:00+00:00,37.721,34.091,75.0,-9.713663476578025,-9.711643298088234,STOP_LOSS
V7_BASE,TREE/USDT,2026-07-21T05:00:00+00:00,2026-07-21T06:00:00+00:00,0.0409,0.0475,75.0,16.020782396088016,15.862017972100077,TAKE_PROFIT
V7_BASE,SNDKB/USDT,2026-07-20T10:00:00+00:00,2026-07-21T10:00:00+00:00,1409.95,1499.3,75.0,6.230767048476897,6.290081452901717,24H
V7_BASE,XPL/USDT,2026-07-20T16:00:00+00:00,2026-07-21T16:00:00+00:00,0.08561,0.08614,75.0,0.5184674687536304,0.5222126957671946,24H
V7_BASE,SUI/USDT,2026-07-20T17:00:00+00:00,2026-07-21T17:00:00+00:00,0.7674,0.7643,75.0,-0.5035574667709103,-0.5071949891635228,24H
V7_BASE,RED/USDT,2026-07-20T17:00:00+00:00,2026-07-21T17:00:00+00:00,0.102,0.1018,75.0,-0.29588235294117776,-0.29801970320490057,24H
V7_BASE,MUB/USDT,2026-07-21T03:00:00+00:00,2026-07-22T03:00:00+00:00,906.0,965.26,75.0,6.434298013245029,6.370534734237566,24H
V7_BASE,TUT/USDT,2026-07-21T03:00:00+00:00,2026-07-22T03:00:00+00:00,0.01501,0.01489,75.0,-0.8986675549633665,-0.8897618452924547,24H
V7_BASE,SOXLB/USDT,2026-07-21T03:00:00+00:00,2026-07-22T03:00:00+00:00,148.12,153.1,75.0,3.258776667566833,3.2264825019174737,24H
V7_BASE,GPS/USDT,2026-07-21T07:00:00+00:00,2026-07-22T07:00:00+00:00,0.00924,0.00898,75.0,-2.9110389610389484,-2.928319620226773,24H
V7_BASE,PLUME/USDT,2026-07-21T07:00:00+00:00,2026-07-22T07:00:00+00:00,0.01094,0.01151,75.0,5.105027422303465,5.135332148626276,24H
V7_BASE,SKHYB/USDT,2026-07-21T08:00:00+00:00,2026-07-22T08:00:00+00:00,161.96,161.7,75.0,-0.2603729315880586,-0.261918570774867,24H
V7_BASE,KAITO/USDT,2026-07-21T23:00:00+00:00,2026-07-22T08:00:00+00:00,0.9948,0.935,75.0,-6.105247285886598,-6.178127599643503,STOP_LOSS
V7_BASE,ALLO/USDT,2026-07-22T08:00:00+00:00,2026-07-23T08:00:00+00:00,0.504,0.5095,75.0,0.9901785714285615,1.006424501880801,24H
V7_BASE,ONDO/USDT,2026-07-22T10:00:00+00:00,2026-07-23T10:00:00+00:00,0.4109,0.4035,75.0,-1.8991238744219916,-1.9302829352967734,24H
V7_BASE,UNI/USDT,2026-07-22T11:00:00+00:00,2026-07-23T11:00:00+00:00,3.785,3.83,75.0,1.0877146631439873,1.1055608752103865,24H
V7_BASE,ENA/USDT,2026-07-22T11:00:00+00:00,2026-07-23T11:00:00+00:00,0.0888,0.0916,75.0,3.049999999999992,3.100041567560723,24H
V7_BASE,CHIP/USDT,2026-07-22T12:00:00+00:00,2026-07-23T12:00:00+00:00,0.0311,0.03006,75.0,-3.4407073954983822,-3.497159327166756,24H
V7_BASE,TAO/USDT,2026-07-22T13:00:00+00:00,2026-07-23T13:00:00+00:00,200.9,193.7,75.0,-3.6802887008462064,-3.7406714600810886,24H
V7_BASE,AAVE/USDT,2026-07-22T13:00:00+00:00,2026-07-23T13:00:00+00:00,97.91,96.11,75.0,-1.9365846185272144,-1.9683583005026577,24H
V7_BASE,ADA/USDT,2026-07-22T15:00:00+00:00,2026-07-23T15:00:00+00:00,0.1779,0.1705,75.0,-4.255480607082633,-4.325300580952373,24H
V7_BASE,GIGGLE/USDT,2026-07-22T15:00:00+00:00,2026-07-23T15:00:00+00:00,26.97,26.02,75.0,-3.6189098998887506,-3.6782856127580885,24H
V7_BASE,WLD/USDT,2026-07-22T16:00:00+00:00,2026-07-23T16:00:00+00:00,0.3938,0.3766,75.0,-4.463331640426622,-4.536561841026739,24H
V7_BASE,SOXLB/USDT,2026-07-23T20:00:00+00:00,2026-07-24T02:00:00+00:00,162.95,151.66,75.0,-7.021577170911321,-7.007259773505439,STOP_LOSS
V7_BASE,TRUMP/USDT,2026-07-23T08:00:00+00:00,2026-07-24T08:00:00+00:00,1.639,1.598,75.0,-2.5990237949969393,-2.644279269300455,24H
V7_BASE,OPN/USDT,2026-07-24T05:00:00+00:00,2026-07-24T08:00:00+00:00,0.0694,0.0627,75.0,-9.744524495677227,-9.656440720858527,STOP_LOSS
V7_BASE,KAITO/USDT,2026-07-23T10:00:00+00:00,2026-07-24T10:00:00+00:00,1.032,1.0396,75.0,0.6356976744186105,0.6455409041450366,24H
V7_BASE,PLUME/USDT,2026-07-23T12:00:00+00:00,2026-07-24T12:00:00+00:00,0.01154,0.01121,75.0,-2.956759098786819,-3.004634561960586,24H
V7_BASE,BMT/USDT,2026-07-23T15:00:00+00:00,2026-07-24T15:00:00+00:00,0.0126,0.01205,75.0,-4.460714285714283,-4.471834704089645,24H
V7_BASE,XPL/USDT,2026-07-24T17:00:00+00:00,2026-07-25T03:00:00+00:00,0.08689,0.08214,75.0,-5.561215329727245,-5.404656961157954,STOP_LOSS
V7_BASE,UNI/USDT,2026-07-24T06:00:00+00:00,2026-07-25T06:00:00+00:00,3.858,3.679,75.0,-4.735069984447909,-4.692268220396116,24H
V7_BASE,HEMI/USDT,2026-07-24T19:00:00+00:00,2026-07-25T06:00:00+00:00,0.00532,0.00505,75.0,-5.170112781954898,-5.024564664417468,STOP_LOSS
V7_BASE,RE/USDT,2026-07-25T07:00:00+00:00,2026-07-25T09:00:00+00:00,0.6078,0.5587,75.0,-8.170236920039493,-7.8168072200990935,STOP_LOSS
V7_BASE,GPS/USDT,2026-07-24T15:00:00+00:00,2026-07-25T15:00:00+00:00,0.00935,0.00934,75.0,-0.20684491978611896,-0.2010218575113214,24H
V7_BASE,TUT/USDT,2026-07-24T21:00:00+00:00,2026-07-25T21:00:00+00:00,0.01452,0.01538,75.0,5.816942148760328,5.653184603174239,24H
V7_BASE,TREE/USDT,2026-07-25T01:00:00+00:00,2026-07-25T23:00:00+00:00,0.0399,0.0379,75.0,-5.107518796992481,-4.963732814453778,STOP_LOSS
V7_BASE,PLUME/USDT,2026-07-25T13:00:00+00:00,2026-07-26T13:00:00+00:00,0.01177,0.01212,75.0,2.8706881903143646,2.7240902249196637,24H
V7_BASE,ALPINE/USDT,2026-07-25T13:00:00+00:00,2026-07-26T13:00:00+00:00,0.314,0.315,75.0,0.21815286624204708,0.20701241342518983,24H
V7_BASE,MUBARAK/USDT,2026-07-26T05:00:00+00:00,2026-07-27T05:00:00+00:00,0.01096,0.0109,75.0,-0.6468978102189865,-0.6141782082438709,24H
V7_BASE,ONDO/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,0.4062,0.4094,90.0,0.6870014771048629,0.6542651201603604,24H
V7_BASE,USDE/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,87.0,-0.10000000000000464,-0.09523489278619479,24H
V7_BASE,PAXG/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,4063.01,4078.89,84.0,0.2904523985911752,0.276612030393224,24H
V7_BASE,UNI/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,3.912,3.854,82.0,-1.5811349693251462,-1.505792192841767,24H
V7_BASE,AAVE/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,97.0,99.73,82.0,2.711618556701039,2.5824070252446774,24H
V7_BASE,CRCLB/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,63.73,63.79,81.0,-0.005946963753323941,-0.005663584554511658,24H
V7_BASE,BNB/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,573.34,571.82,81.0,-0.36484808316183065,-0.3474626808316401,24H
V7_BASE,GRAM/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.519,1.486,81.0,-2.2703094140881994,-2.1621267364216834,24H
V7_BASE,SOL/USDT,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,75.53,75.95,79.0,0.455514365152925,0.4338086172790838,24H
V7_BASE,PEPE/USDT,2026-07-27T05:00:00+00:00,2026-07-27T22:00:00+00:00,3.05e-06,2.83e-06,95.0,-7.305901639344261,-6.953284954841152,STOP_LOSS
V7_BASE,KAITO/USDT,2026-07-27T16:00:00+00:00,2026-07-28T09:00:00+00:00,1.2228,1.1586,79.0,-5.344995093228668,-5.0861174487806124,STOP_LOSS
V7_BASE,RLUSD/USDT,2026-07-27T16:00:00+00:00,2026-07-28T16:00:00+00:00,1.0013,1.0011,87.0,-0.11995405972237069,-0.11414424626487119,24H
V7_BASE,MSTRB/USDT,2026-07-27T16:00:00+00:00,2026-07-28T16:00:00+00:00,97.4,98.12,81.0,0.6384804928131375,0.6075565493627693,24H
V7_BASE,USD1/USDT,2026-07-27T16:00:00+00:00,2026-07-28T16:00:00+00:00,0.9999,0.99978,81.0,-0.1119891989198946,-0.1065651527768523,24H
