metric,value
verdict,FORMULA_COMPATIVEL_COM_CUSTO_020PP
trades_valid,31749
parse_errors,0
scenarios,104
median_gross_return_pct,-0.00999051
median_recorded_return_pct,-0.20999201
median_implicit_cost_pct,0.20000000
mean_implicit_cost_pct,0.20758449
near_0_00pp,0
near_0_10pp,0
near_0_15pp,0
near_0_20pp,30717
near_0_30pp,344
unexplained,688
pnl_sign_conflicts,0
side_column,
quantity_column,
notional_column,
