scenario,avg_pct,pf,dd_pct,sequence_equity_factor
BASE,0.9074729718948713,1.5965387118423489,-76.46558656065967,8.676813663212539e+93
COST_0_15,0.7574729718948712,1.4713341818000616,-81.39461145504447,2.2183414116268905e+73
COST_0_20,0.7074729718948713,1.43238381505633,-82.7978497433596,2.9857842533386774e+66
COST_0_30,0.6074729718948711,1.3583209130694678,-86.69704076701777,5.282127266625702e+52
COST_0_40,0.5074729718948711,1.289055036738016,-91.70317234556742,9.052950014993245e+38
COST_0_20_SLIP_0_10,0.6074729718948714,1.358320913069468,-86.69704076701778,5.282127266624663e+52
COST_0_30_SLIP_0_20,0.40747297189487125,1.2242599932036935,-98.70385905711531,1.5030538543140792e+25
HALF_RETURN,0.45373648594743565,1.5965387118423489,-50.63194197113708,2.94870308145182e+53
