scenario,check,status,value
S78_SL4_TP10,allocation,FALHA,594
S78_SL4_TP12,allocation,FALHA,592
S78_SL4_TP15,allocation,FALHA,574
S78_SL5_TP8,allocation,FALHA,591
S78_SL5_TP10,allocation,FALHA,581
S78_SL5_TP12,allocation,FALHA,571
S78_SL5_TP15,allocation,FALHA,562
S78_SL6_TP8,allocation,FALHA,579
S78_SL6_TP10,allocation,FALHA,560
S78_SL6_TP12,allocation,FALHA,556
S78_SL6_TP15,allocation,FALHA,542
S80_SL4_TP8,allocation,FALHA,620
S80_SL4_TP10,allocation,FALHA,607
S80_SL4_TP12,allocation,FALHA,586
S80_SL4_TP15,allocation,FALHA,589
S80_SL5_TP8,allocation,FALHA,601
S80_SL5_TP10,allocation,FALHA,573
S80_SL5_TP12,allocation,FALHA,571
S80_SL5_TP15,allocation,FALHA,552
S80_SL6_TP8,allocation,FALHA,584
S80_SL6_TP10,allocation,FALHA,554
S80_SL6_TP12,allocation,FALHA,558
S80_SL6_TP15,allocation,FALHA,543
S82_SL4_TP8,allocation,FALHA,616
S82_SL4_TP10,allocation,FALHA,603
S82_SL4_TP12,allocation,FALHA,581
S82_SL4_TP15,allocation,FALHA,581
S82_SL5_TP8,allocation,FALHA,596
S82_SL5_TP10,allocation,FALHA,570
S82_SL5_TP12,allocation,FALHA,569
S82_SL5_TP15,allocation,FALHA,553
S82_SL6_TP8,allocation,FALHA,575
S82_SL6_TP10,allocation,FALHA,564
S82_SL6_TP12,allocation,FALHA,568
S82_SL6_TP15,allocation,FALHA,542
S85_SL4_TP8,allocation,FALHA,568
S85_SL4_TP10,allocation,FALHA,543
S85_SL4_TP12,allocation,FALHA,545
S85_SL4_TP15,allocation,FALHA,531
S85_SL5_TP8,allocation,FALHA,557
S85_SL5_TP10,allocation,FALHA,541
S85_SL5_TP12,allocation,FALHA,535
S85_SL5_TP15,allocation,FALHA,516
S85_SL6_TP8,allocation,FALHA,544
S85_SL6_TP10,allocation,FALHA,533
S85_SL6_TP12,allocation,FALHA,526
S85_SL6_TP15,allocation,FALHA,512
CD6_E1_P5,allocation,FALHA,382
CD6_E1_P7,allocation,FALHA,508
CD6_E1_P10,allocation,FALHA,688
CD6_E1_P15,allocation,FALHA,960
CD6_E2_P5,allocation,FALHA,382
CD6_E2_P7,allocation,FALHA,509
CD6_E2_P10,allocation,FALHA,694
CD6_E2_P15,allocation,FALHA,979
CD12_E1_P5,allocation,FALHA,365
CD12_E1_P7,allocation,FALHA,502
CD12_E1_P15,allocation,FALHA,951
CD12_E2_P5,allocation,FALHA,367
CD12_E2_P7,allocation,FALHA,504
CD12_E2_P10,allocation,FALHA,687
CD12_E2_P15,allocation,FALHA,966
CD24_E1_P5,allocation,FALHA,369
CD24_E1_P7,allocation,FALHA,484
CD24_E1_P10,allocation,FALHA,678
CD24_E1_P15,allocation,FALHA,945
CD24_E2_P5,allocation,FALHA,369
CD24_E2_P7,allocation,FALHA,484
CD24_E2_P10,allocation,FALHA,678
CD24_E2_P15,allocation,FALHA,945
COST_0.15,allocation,FALHA,679
COST_0.20,allocation,FALHA,679
COST_0.30,allocation,FALHA,681
ROBUST_72_SL5_TP10_CD6_P7,allocation,FALHA,528
ROBUST_78_SL5_TP10_CD6_P7,allocation,FALHA,416
ROBUST_78_SL5_TP12_CD6_P7,allocation,FALHA,397
ROBUST_78_SL4_TP12_CD6_P7,allocation,FALHA,413
ROBUST_78_SL5_TP10_CD24_P5,allocation,FALHA,286
ROBUST_78_SL5_TP12_CD24_P5,allocation,FALHA,279
S72_SL4_TP8,overlap,OK,0
S72_SL4_TP10,overlap,OK,0
S72_SL4_TP12,overlap,OK,0
S72_SL4_TP15,overlap,OK,0
S72_SL5_TP8,overlap,OK,0
S72_SL5_TP10,overlap,OK,0
S72_SL5_TP12,overlap,OK,0
S72_SL5_TP15,overlap,OK,0
S72_SL6_TP8,overlap,OK,0
S72_SL6_TP10,overlap,OK,0
S72_SL6_TP12,overlap,OK,0
S72_SL6_TP15,overlap,OK,0
S75_SL4_TP8,overlap,OK,0
S75_SL4_TP10,overlap,OK,0
S75_SL4_TP12,overlap,OK,0
S75_SL4_TP15,overlap,OK,0
S75_SL5_TP8,overlap,OK,0
S75_SL5_TP10,overlap,OK,0
S75_SL5_TP12,overlap,OK,0
S75_SL5_TP15,overlap,OK,0
S75_SL6_TP8,overlap,OK,0
S75_SL6_TP10,overlap,OK,0
S75_SL6_TP12,overlap,OK,0
S75_SL6_TP15,overlap,OK,0
S78_SL4_TP8,overlap,OK,0
S78_SL4_TP10,overlap,OK,0
S78_SL4_TP12,overlap,OK,0
S78_SL4_TP15,overlap,OK,0
S78_SL5_TP8,overlap,OK,0
S78_SL5_TP10,overlap,OK,0
S78_SL5_TP12,overlap,OK,0
S78_SL5_TP15,overlap,OK,0
S78_SL6_TP8,overlap,OK,0
S78_SL6_TP10,overlap,OK,0
S78_SL6_TP12,overlap,OK,0
S78_SL6_TP15,overlap,OK,0
S80_SL4_TP8,overlap,OK,0
S80_SL4_TP10,overlap,OK,0
S80_SL4_TP12,overlap,OK,0
S80_SL4_TP15,overlap,OK,0
S80_SL5_TP8,overlap,OK,0
S80_SL5_TP10,overlap,OK,0
S80_SL5_TP12,overlap,OK,0
S80_SL5_TP15,overlap,OK,0
S80_SL6_TP8,overlap,OK,0
S80_SL6_TP10,overlap,OK,0
S80_SL6_TP12,overlap,OK,0
S80_SL6_TP15,overlap,OK,0
S82_SL4_TP8,overlap,OK,0
S82_SL4_TP10,overlap,OK,0
S82_SL4_TP12,overlap,OK,0
S82_SL4_TP15,overlap,OK,0
S82_SL5_TP8,overlap,OK,0
S82_SL5_TP10,overlap,OK,0
S82_SL5_TP12,overlap,OK,0
S82_SL5_TP15,overlap,OK,0
S82_SL6_TP8,overlap,OK,0
S82_SL6_TP10,overlap,OK,0
S82_SL6_TP12,overlap,OK,0
S82_SL6_TP15,overlap,OK,0
S85_SL4_TP8,overlap,OK,0
S85_SL4_TP10,overlap,OK,0
S85_SL4_TP12,overlap,OK,0
S85_SL4_TP15,overlap,OK,0
S85_SL5_TP8,overlap,OK,0
S85_SL5_TP10,overlap,OK,0
S85_SL5_TP12,overlap,OK,0
S85_SL5_TP15,overlap,OK,0
S85_SL6_TP8,overlap,OK,0
S85_SL6_TP10,overlap,OK,0
S85_SL6_TP12,overlap,OK,0
S85_SL6_TP15,overlap,OK,0
CD6_E1_P5,overlap,OK,0
CD6_E1_P7,overlap,OK,0
CD6_E1_P10,overlap,OK,0
CD6_E1_P15,overlap,OK,0
CD6_E2_P5,overlap,OK,0
CD6_E2_P7,overlap,OK,0
CD6_E2_P10,overlap,OK,0
CD6_E2_P15,overlap,OK,0
CD12_E1_P5,overlap,OK,0
CD12_E1_P7,overlap,OK,0
CD12_E1_P15,overlap,OK,0
CD12_E2_P5,overlap,OK,0
CD12_E2_P7,overlap,OK,0
CD12_E2_P10,overlap,OK,0
CD12_E2_P15,overlap,OK,0
CD24_E1_P5,overlap,OK,0
CD24_E1_P7,overlap,OK,0
CD24_E1_P10,overlap,OK,0
CD24_E1_P15,overlap,OK,0
CD24_E2_P5,overlap,OK,0
CD24_E2_P7,overlap,OK,0
CD24_E2_P10,overlap,OK,0
CD24_E2_P15,overlap,OK,0
COST_0.15,overlap,OK,0
COST_0.20,overlap,OK,0
COST_0.30,overlap,OK,0
ROBUST_72_SL5_TP10_CD6_P7,overlap,OK,0
ROBUST_78_SL5_TP10_CD6_P7,overlap,OK,0
ROBUST_78_SL5_TP12_CD6_P7,overlap,OK,0
ROBUST_78_SL4_TP12_CD6_P7,overlap,OK,0
ROBUST_78_SL5_TP10_CD24_P5,overlap,OK,0
ROBUST_78_SL5_TP12_CD24_P5,overlap,OK,0
S72_SL4_TP8,time_integrity,OK,0
S72_SL4_TP10,time_integrity,OK,0
S72_SL4_TP12,time_integrity,OK,0
