metric,value
valid_trades,31749
parse_errors,0
scenarios,104
symbols,82
gross_return_median_pct,-0.00999051
recorded_return_median_pct,-0.20999201
implicit_cost_median_pp,0.20000000
implicit_cost_mean_pp,0.20758449
real_data_issues,448
attention_findings,0
verdict,FALHA_ECONOMICA_REAL
