tipo,scenario,symbol,trades,avg_pct,median_pct,pf,dd_pct,pnl
scenario,CD12_E1_P15,,483,0.9607244968770176,-0.20199772259623644,1.6386522190724473,-63.54947778424274,4640.299319915995
scenario,CD12_E1_P5,,184,0.18566105802376606,-0.21997802497076818,1.113581994687621,-54.139554417184634,341.6163467637297
scenario,CD12_E1_P7,,256,1.2721618954390796,-0.20999125770566046,1.7767324027492386,-55.839463606308904,3256.7344523240445
scenario,CD12_E2_P10,,347,0.5555541929432063,-0.23004807692307266,1.3487557166549728,-63.420577641593965,1927.7730495129263
scenario,CD12_E2_P15,,490,1.0422188959359466,-0.20749113569314398,1.7179589383604228,-65.49613406068727,5106.872590086139
scenario,CD12_E2_P5,,185,0.3652758260665658,-0.2179964007198663,1.2272419638091894,-55.83660811818414,675.7602782231469
scenario,CD12_E2_P7,,256,1.1352543694376402,-0.2139993202647737,1.6991948968049098,-54.79494413588504,2906.251185760359
scenario,CD24_E1_P10,,345,0.4622018150481455,-0.2199740337561094,1.2858375375966669,-67.33987569392345,1594.5962619161023
scenario,CD24_E1_P15,,477,0.33875102579400485,-0.22254791431792748,1.221859944367422,-76.46558656065964,1615.8423930374036
scenario,CD24_E1_P5,,188,0.6372802538125591,-0.20998876294724395,1.4007562071683795,-54.31318854453657,1198.0868771676114
scenario,CD24_E1_P7,,247,1.2705505359331444,-0.20999050901643318,1.8482016281037212,-54.24549117766383,3138.259823754867
scenario,CD24_E2_P10,,345,0.4622018150481455,-0.2199740337561094,1.2858375375966669,-67.33987569392345,1594.5962619161023
scenario,CD24_E2_P15,,477,0.33875102579400485,-0.22254791431792748,1.221859944367422,-76.46558656065964,1615.8423930374036
scenario,CD24_E2_P5,,188,0.6372802538125591,-0.20998876294724395,1.4007562071683795,-54.31318854453657,1198.0868771676114
scenario,CD24_E2_P7,,247,1.2705505359331444,-0.20999050901643318,1.8482016281037212,-54.24549117766383,3138.259823754867
scenario,CD6_E1_P10,,349,1.2932036236269209,-0.20999200639488774,1.8453355155623106,-60.950763766232626,4513.280646457954
scenario,CD6_E1_P15,,490,1.1746980847383137,-0.19950001499954279,1.82151477620399,-63.122158346321264,5756.020615217738
