signal_id,symbol,entry_time,entry_price,quantity,entry_cost_usdt,buy_order_id,score,confidence,target_reached
20260903230000+0000_59ff2dc566,FDUSD/USDT,2026-09-04T02:55:55.277649+00:00,0.999800000000,200.000000000000,199.960000,156189,68.00,40.00,0
20260903130000+0000_505ee61e0c,ENSO/USDT,2026-09-04T12:19:01.360251+00:00,0.866000000000,231.740000000000,200.686840,208484,65.00,55.00,0
20260904100000+0000_b75765e56f,TAO/USDT,2026-09-04T13:14:22.887122+00:00,222.100000000000,0.899600000000,199.801160,401766,66.00,46.00,0
20260904120000+0000_a239792ff9,BNB/USDT,2026-09-04T15:10:03.733369+00:00,714.150000000000,0.280000000000,199.962000,3879966,72.00,62.00,0
20260904160000+0000_44cce9606e,BTC/USDT,2026-09-04T18:51:18.458011+00:00,79595.750000000000,0.002510000000,199.785333,12246887,70.00,67.00,0
