trade_id,rule,symbol,entry_time,exit_time,entry_price,exit_price,score,confidence,quantity,nominal_value,entry_fee,exit_fee,gross_pnl,net_pnl,return_pct,capital_before,capital_after,status
1,V5_24H_SCORE_GE_70,CHIP/USDT,2026-07-18T13:00:00+00:00,2026-07-19T13:00:00+00:00,0.03159,0.03049,75.0,70.0,3165.5587211142765,100.0,0.1,0.09651788540677428,-3.4821145932257167,-3.678632478632491,-3.67495752111138,99.09999999999985,195.52136752136738,CLOSED
2,V5_24H_SCORE_GE_70,DEXE/USDT,2026-07-18T13:00:00+00:00,2026-07-19T13:00:00+00:00,36.519,33.652,75.0,70.0,2.738300610641036,100.0,0.1,0.09214929214929216,-7.850707850707849,-8.042857142857141,-8.034822320536605,195.52136752136738,287.57851037851026,CLOSED
3,V5_24H_SCORE_GE_70,ONG/USDT,2026-07-18T13:00:00+00:00,2026-07-19T13:00:00+00:00,0.0472,0.0474,70.0,65.0,2118.64406779661,100.0,0.1,0.10042372881355932,0.4237288135593218,0.2233050847457625,0.22308200274301948,287.57851037851026,387.901815463256,CLOSED
4,V5_24H_SCORE_GE_70,ALLO/USDT,2026-07-18T14:00:00+00:00,2026-07-19T14:00:00+00:00,0.4592,0.4639,72.0,67.0,217.77003484320556,100.0,0.1,0.10102351916376305,1.023519163763055,0.8224956445992919,0.8216739706286632,187.70181546325605,288.62431110785536,CLOSED
5,V5_24H_SCORE_GE_70,ACE/USDT,2026-07-18T15:00:00+00:00,2026-07-19T15:00:00+00:00,0.0729,0.0672,70.0,70.0,1371.7421124828531,100.0,0.1,0.09218106995884773,-7.818930041152271,-8.011111111111118,-8.00310800310801,188.52431110785537,280.61319999674424,CLOSED
6,V5_24H_SCORE_GE_70,ZEC/USDT,2026-07-18T16:00:00+00:00,2026-07-19T16:00:00+00:00,556.73,551.43,70.0,65.0,0.179620282722325,100.0,0.1,0.09904801250157166,-0.9519874984283376,-1.1510355109299093,-1.1498856253046048,80.41319999674425,179.36216448581433,CLOSED
7,V5_24H_SCORE_GE_70,ETH/USDT,2026-07-18T18:00:00+00:00,2026-07-19T18:00:00+00:00,1857.54,1861.12,70.0,65.0,0.05383464151512215,100.0,0.1,0.10019272801662413,0.1927280166241303,-0.007464711392493828,-0.007457254138355473,79.26216448581434,179.35469977442185,CLOSED
8,V5_24H_SCORE_GE_70,TAO/USDT,2026-07-18T19:00:00+00:00,2026-07-19T19:00:00+00:00,195.9,197.1,70.0,65.0,0.5104645227156712,100.0,0.1,0.10061255742725879,0.6125574272587926,0.41194486983153383,0.4115333364950388,179.35469977442185,279.86664464425337,CLOSED
9,V5_24H_SCORE_GE_70,CRCLB/USDT,2026-07-19T01:00:00+00:00,2026-07-20T01:00:00+00:00,61.4,60.65,73.0,68.0,1.6286644951140066,100.0,0.1,0.0987785016286645,-1.2214983713354997,-1.4202768729641642,-1.4188580149492152,79.66664464425338,178.34636777128924,CLOSED
10,V5_24H_SCORE_GE_70,HEMI/USDT,2026-07-19T13:00:00+00:00,2026-07-20T13:00:00+00:00,0.00457,0.0053,75.0,70.0,21881.83807439825,100.0,0.1,0.11597374179431073,15.973741794310726,15.757768052516417,15.742026026489928,78.24636777128924,194.10413582380568,CLOSED
11,V5_24H_SCORE_GE_70,LTC/USDT,2026-07-19T13:00:00+00:00,2026-07-20T13:00:00+00:00,47.36,46.69,73.0,68.0,2.1114864864864864,100.0,0.1,0.09858530405405405,-1.414695945945951,-1.613281250000005,-1.6116695804195855,194.10413582380568,292.5908545738057,CLOSED
12,V5_24H_SCORE_GE_70,GPS/USDT,2026-07-19T14:00:00+00:00,2026-07-20T14:00:00+00:00,0.00908,0.00905,70.0,65.0,11013.215859030837,100.0,0.1,0.09966960352422909,-0.330396475770911,-0.53006607929514,-0.5295365427523877,92.39085457380571,191.96078849451055,CLOSED
13,V5_24H_SCORE_GE_70,ALLO/USDT,2026-07-19T15:00:00+00:00,2026-07-20T15:00:00+00:00,0.4711,0.4697,72.0,67.0,212.26915729144554,100.0,0.1,0.09970282317979198,-0.2971768202080227,-0.49687964338781465,-0.49638326012768696,91.86078849451056,191.46390885112274,CLOSED
14,V5_24H_SCORE_GE_70,TUT/USDT,2026-07-19T15:00:00+00:00,2026-07-20T15:00:00+00:00,0.01317,0.0138,70.0,65.0,7593.014426727411,100.0,0.1,0.10478359908883828,4.7835990888382725,4.578815489749434,4.574241248500933,191.46390885112274,296.1427243408722,CLOSED
15,V5_24H_SCORE_GE_70,EDEN/USDT,2026-07-19T16:00:00+00:00,2026-07-20T16:00:00+00:00,0.04415,0.04281,70.0,65.0,2265.005662514156,100.0,0.1,0.09696489241223102,-3.0351075877689766,-3.2320724801812077,-3.2288436365446636,95.94272434087219,192.810651860691,CLOSED
16,V5_24H_SCORE_GE_70,ACE/USDT,2026-07-19T20:00:00+00:00,2026-07-20T20:00:00+00:00,0.0712,0.1206,70.0,70.0,1404.4943820224719,100.0,0.1,0.16938202247191012,69.38202247191012,69.11264044943822,69.04359685258564,92.710651860691,261.9232923101292,CLOSED
17,V5_24H_SCORE_GE_70,EWYB/USDT,2026-07-19T22:00:00+00:00,2026-07-20T22:00:00+00:00,166.67,163.53,75.0,70.0,0.5999880002399952,100.0,0.1,0.09811603767924643,-1.8839623207535823,-2.082078358432829,-2.0799983600727563,61.72329231012924,159.7412139516964,CLOSED
18,V5_24H_SCORE_GE_70,LINK/USDT,2026-07-20T01:00:00+00:00,2026-07-21T01:00:00+00:00,8.422,8.592,73.0,68.0,11.873664212776061,100.0,0.1,0.10201852291617193,2.018522916171932,1.81650439325576,1.814689703552208,59.641213951696415,161.55771834495218,CLOSED
19,V5_24H_SCORE_GE_70,NEAR/USDT,2026-07-20T13:00:00+00:00,2026-07-21T13:00:00+00:00,1.965,1.988,73.0,68.0,50.89058524173028,100.0,0.1,0.10117048346055979,1.1704834605597938,0.9693129770992339,0.9683446324667672,61.457718344952184,162.5270313220514,CLOSED
20,V5_24H_SCORE_GE_70,SOXLB/USDT,2026-07-20T13:00:00+00:00,2026-07-21T13:00:00+00:00,143.87,152.78,73.0,68.0,0.6950719399457843,100.0,0.1,0.10619309098491693,6.193090984916921,5.986897893932005,5.98091697695505,162.5270313220514,268.61392921598343,CLOSED
21,V5_24H_SCORE_GE_70,CRCLB/USDT,2026-07-20T14:00:00+00:00,2026-07-21T14:00:00+00:00,63.12,69.88,70.0,70.0,1.5842839036755387,100.0,0.1,0.11070975918884664,10.709759188846633,10.499049429657786,10.488560868788998,68.41392921598344,179.01297864564123,CLOSED
22,V5_24H_SCORE_GE_70,BMT/USDT,2026-07-20T15:00:00+00:00,2026-07-21T15:00:00+00:00,0.01184,0.01197,73.0,68.0,8445.945945945947,100.0,0.1,0.10109797297297299,1.0979729729729826,0.8968750000000096,0.8959790209790307,78.91297864564123,179.90985364564125,CLOSED
23,V5_24H_SCORE_GE_70,ALLO/USDT,2026-07-20T15:00:00+00:00,2026-07-21T15:00:00+00:00,0.4697,0.4838,72.0,67.0,212.90185224611454,100.0,0.1,0.10300191611667021,3.001916116670216,2.7989142005535457,2.7961180824710747,179.90985364564125,282.80876784619477,CLOSED
24,V5_24H_SCORE_GE_70,XPL/USDT,2026-07-20T16:00:00+00:00,2026-07-21T16:00:00+00:00,0.08561,0.08614,75.0,70.0,1168.0878402055835,100.0,0.1,0.10061908655530896,0.6190865553089537,0.4184674687536448,0.4180494193343105,182.70876784619477,283.2272353149484,CLOSED
25,V5_24H_SCORE_GE_70,RARE/USDT,2026-07-20T20:00:00+00:00,2026-07-21T20:00:00+00:00,0.0128,0.0127,73.0,68.0,7812.5,100.0,0.1,0.09921875000000001,-0.78125,-0.98046875,-0.9794892607392608,83.02723531494843,182.14676656494842,CLOSED
