scenario,row,category,severity,message,expected,observed
S72_SL4_TP8,39,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.899441340782,-2.099441340782
S72_SL4_TP8,40,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.320512820513,-0.520512820513
S72_SL4_TP8,41,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,2.873703477730,2.673703477730
S72_SL4_TP8,42,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.814843673907,-3.014843673907
S72_SL4_TP8,43,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.065876152833,-0.265876152833
S72_SL4_TP8,44,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.627486437613,-1.827486437613
S72_SL4_TP8,45,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,46,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,1.091269841270,0.891269841270
S72_SL4_TP8,47,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.800924799221,-2.000924799221
S72_SL4_TP8,48,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,1.698964693390,1.498964693390
S72_SL4_TP8,49,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.327837051406,-2.527837051406
S72_SL4_TP8,50,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,8.000000000000,7.800000000000
S72_SL4_TP8,51,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,52,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,53,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,54,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,55,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,56,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,57,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.501525320317,-2.701525320317
