row,scenario,symbol,entry_price,exit_price,return_pct,pnl,gross_return_pct,implicit_cost_pp,nearest_simple_cost,nearest_distance_pp
39,S72_SL4_TP8,ALPINE/USDT,0.312,0.311,-0.5205128205128193,-5.205128205128193,-0.32051282,0.20000000,0.20,0.00000000
40,S72_SL4_TP8,SKHYB/USDT,163.9,168.61,2.673703477730327,26.737034777303272,2.87370348,0.20000000,0.20,0.00000000
41,S72_SL4_TP8,MSTRB/USDT,102.67,99.78,-3.0148436739066975,-30.148436739066973,-2.81484367,0.20000000,0.20,0.00000000
42,S72_SL4_TP8,GRAM/USDT,1.518,1.517,-0.2658761528326779,-2.658761528326779,-0.06587615,0.20000000,0.20,0.00000000
43,S72_SL4_TP8,PORTAL/USDT,0.01106,0.01088,-1.8274864376130127,-18.274864376130125,-1.62748644,0.20000000,0.20,0.00000000
44,S72_SL4_TP8,PLUME/USDT,0.01178,0.0113088,-4.199999999999992,-41.99999999999992,-4.00000000,0.20000000,0.20,0.00000000
45,S72_SL4_TP8,ALLO/USDT,0.504,0.5095,0.8912698412698374,8.912698412698374,1.09126984,0.20000000,0.20,0.00000000
46,S72_SL4_TP8,ONDO/USDT,0.4109,0.4035,-2.0009247992212154,-20.009247992212153,-1.80092480,0.20000000,0.20,0.00000000
47,S72_SL4_TP8,UNI/USDT,3.767,3.831,1.4989646933899705,14.989646933899705,1.69896469,0.20000000,0.20,0.00000000
48,S72_SL4_TP8,CHIP/USDT,0.03093,0.03021,-2.527837051406401,-25.278370514064008,-2.32783705,0.20000000,0.20,0.00000000
49,S72_SL4_TP8,KAITO/USDT,0.9722,1.049976,7.800000000000007,78.00000000000007,8.00000000,0.20000000,0.20,0.00000000
50,S72_SL4_TP8,SOXLB/USDT,160.1,153.696,-4.199999999999992,-41.99999999999992,-4.00000000,0.20000000,0.20,0.00000000
51,S72_SL4_TP8,WLD/USDT,0.3938,0.378048,-4.199999999999992,-41.99999999999992,-4.00000000,0.20000000,0.20,0.00000000
52,S72_SL4_TP8,EDEN/USDT,0.04409,0.04232639999999999,-4.200000000000014,-42.00000000000014,-4.00000000,0.20000000,0.20,0.00000000
53,S72_SL4_TP8,OPN/USDT,0.0718,0.068928,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
54,S72_SL4_TP8,ADA/USDT,0.1779,0.170784,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
55,S72_SL4_TP8,SNDKB/USDT,1667.76,1601.0495999999998,-4.200000000000014,-42.00000000000014,-4.00000000,0.20000000,0.20,0.00000000
56,S72_SL4_TP8,TRUMP/USDT,1.639,1.598,-2.701525320317266,-27.015253203172662,-2.50152532,0.20000000,0.20,0.00000000
57,S72_SL4_TP8,KAITO/USDT,1.0396,0.998016,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
58,S72_SL4_TP8,BMT/USDT,0.01269,0.0121824,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
59,S72_SL4_TP8,PLUME/USDT,0.01146,0.01114,-2.9923211169284425,-29.923211169284425,-2.79232112,0.20000000,0.20,0.00000000
