signal_id,scenario,symbol,entry_time,entry_price,timeframe,score,confidence,signal
20260827080000+0000_72d178a431,V9.20_V3_FORWARD,DOGE/USDT,2026-08-27T08:00:00+00:00,0.089190000000,1h,65.00,55.00,LONG
20260827080000+0000_b4bfd84242,V9.20_V3_FORWARD,FET/USDT,2026-08-27T08:00:00+00:00,0.169400000000,1h,65.00,55.00,LONG
20260827080000+0000_13ed6c455a,V9.20_V3_FORWARD,NEAR/USDT,2026-08-27T08:00:00+00:00,1.934000000000,1h,65.00,55.00,LONG
20260827080000+0000_de1e521f23,V9.20_V3_FORWARD,PENGU/USDT,2026-08-27T08:00:00+00:00,0.009626000000,1h,65.00,55.00,LONG
20260827080000+0000_88900ca1a2,V9.20_V3_FORWARD,PEPE/USDT,2026-08-27T08:00:00+00:00,0.000003920000,1h,65.00,55.00,LONG
20260827080000+0000_264c5728d2,V9.20_V3_FORWARD,PUMP/USDT,2026-08-27T08:00:00+00:00,0.004864000000,1h,65.00,55.00,LONG
20260827080000+0000_be92b9567d,V9.20_V3_FORWARD,SUI/USDT,2026-08-27T08:00:00+00:00,0.772800000000,1h,65.00,55.00,LONG
20260827080000+0000_6460ea1a1a,V9.20_V3_FORWARD,TRUMP/USDT,2026-08-27T08:00:00+00:00,2.329000000000,1h,65.00,55.00,LONG
20260827080000+0000_a4b7661cfe,V9.20_V3_FORWARD,XLM/USDT,2026-08-27T08:00:00+00:00,0.187100000000,1h,65.00,55.00,LONG
20260827080000+0000_d744e3b148,V9.20_V3_FORWARD,XRP/USDT,2026-08-27T08:00:00+00:00,1.435100000000,1h,65.00,55.00,LONG
20260827090000+0000_907cf7409f,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T09:00:00+00:00,0.021500000000,1h,75.00,70.00,LONG
20260827090000+0000_3f87a821ba,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T09:00:00+00:00,0.155200000000,1h,75.00,70.00,LONG
20260827090000+0000_5e2a80ef55,V9.20_V3_FORWARD,BNB/USDT,2026-08-27T09:00:00+00:00,712.600000000000,1h,73.00,68.00,LONG
20260827090000+0000_a076557d06,V9.20_V3_FORWARD,ETH/USDT,2026-08-27T09:00:00+00:00,2534.940000000000,1h,73.00,68.00,LONG
20260827090000+0000_b4a4074fe2,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T09:00:00+00:00,4.466000000000,1h,73.00,68.00,LONG
20260827090000+0000_13fa31e5df,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T09:00:00+00:00,79986.000000000000,1h,70.00,65.00,LONG
20260827090000+0000_7783ed2b72,V9.20_V3_FORWARD,LINK/USDT,2026-08-27T09:00:00+00:00,11.866000000000,1h,67.00,60.00,LONG
20260827090000+0000_0b9dcc79e8,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T09:00:00+00:00,104.400000000000,1h,67.00,60.00,LONG
20260827090000+0000_4f02347c0e,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T09:00:00+00:00,92.240000000000,1h,67.00,54.00,LONG
20260827090000+0000_f1d6e5edc5,V9.20_V3_FORWARD,PEPE/USDT,2026-08-27T09:00:00+00:00,0.000003940000,1h,65.00,55.00,LONG
20260827090000+0000_1a939dab2f,V9.20_V3_FORWARD,PYTH/USDT,2026-08-27T09:00:00+00:00,0.050430000000,1h,65.00,55.00,LONG
20260827090000+0000_9f10e23a78,V9.20_V3_FORWARD,SUI/USDT,2026-08-27T09:00:00+00:00,0.769100000000,1h,65.00,55.00,LONG
20260827090000+0000_ab7d6be1ee,V9.20_V3_FORWARD,XPL/USDT,2026-08-27T09:00:00+00:00,0.090260000000,1h,65.00,55.00,LONG
20260827100000+0000_a853550367,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T10:00:00+00:00,0.021410000000,1h,75.00,70.00,LONG
20260827100000+0000_354c0afa2e,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T10:00:00+00:00,104.100000000000,1h,72.00,67.00,LONG
20260827100000+0000_84bb5fdfa8,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T10:00:00+00:00,0.057680000000,1h,72.00,59.00,LONG
20260827100000+0000_1728892fcd,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T10:00:00+00:00,91.760000000000,1h,70.00,65.00,LONG
20260827100000+0000_605b3e8039,V9.20_V3_FORWARD,LINK/USDT,2026-08-27T10:00:00+00:00,11.737000000000,1h,70.00,65.00,LONG
20260827100000+0000_82ae5da2e2,V9.20_V3_FORWARD,BICO/USDT,2026-08-27T10:00:00+00:00,0.028650000000,1h,69.00,48.00,LONG
20260827100000+0000_e9054bd731,V9.20_V3_FORWARD,ETH/USDT,2026-08-27T10:00:00+00:00,2503.600000000000,1h,67.00,55.00,LONG
20260827100000+0000_8b50049b4f,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T10:00:00+00:00,79626.000000000000,1h,67.00,54.00,LONG
20260827100000+0000_39a5b59245,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T10:00:00+00:00,4.447000000000,1h,67.00,54.00,LONG
20260827100000+0000_cba8e19163,V9.20_V3_FORWARD,PEPE/USDT,2026-08-27T10:00:00+00:00,0.000003930000,1h,65.00,55.00,LONG
20260827100000+0000_a86b2d2e80,V9.20_V3_FORWARD,XPL/USDT,2026-08-27T10:00:00+00:00,0.089920000000,1h,65.00,55.00,LONG
20260827110000+0000_a254769ca7,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T11:00:00+00:00,0.021460000000,1h,75.00,70.00,LONG
20260827110000+0000_9759aa9b16,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T11:00:00+00:00,0.058180000000,1h,72.00,59.00,LONG
20260827110000+0000_e77ae8fd11,V9.20_V3_FORWARD,BEAMX/USDT,2026-08-27T11:00:00+00:00,0.001912000000,1h,70.00,62.00,LONG
20260827110000+0000_fdcbe55792,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T11:00:00+00:00,4.458000000000,1h,67.00,54.00,LONG
20260827120000+0000_76396139eb,V9.20_V3_FORWARD,HEMI/USDT,2026-08-27T12:00:00+00:00,0.008840000000,1h,75.00,70.00,LONG
20260827120000+0000_39e3ceb253,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T12:00:00+00:00,0.021800000000,1h,72.00,67.00,LONG
20260827120000+0000_9ddf14407e,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T12:00:00+00:00,0.063740000000,1h,70.00,62.00,LONG
20260827130000+0000_3a7749dae5,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T13:00:00+00:00,94.590000000000,1h,75.00,70.00,LONG
20260827130000+0000_0143b11365,V9.20_V3_FORWARD,PENGU/USDT,2026-08-27T13:00:00+00:00,0.009841000000,1h,75.00,70.00,LONG
20260827130000+0000_e177379dbe,V9.20_V3_FORWARD,HEI/USDT,2026-08-27T13:00:00+00:00,0.148000000000,1h,72.00,67.00,LONG
20260827130000+0000_0dc073ddbc,V9.20_V3_FORWARD,HEMI/USDT,2026-08-27T13:00:00+00:00,0.008760000000,1h,72.00,67.00,LONG
20260827130000+0000_29f146082f,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T13:00:00+00:00,0.062940000000,1h,70.00,62.00,LONG
20260827130000+0000_5499c895d7,V9.20_V3_FORWARD,MOVR/USDT,2026-08-27T13:00:00+00:00,0.984000000000,1h,69.00,48.00,LONG
20260827130000+0000_016f238f59,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T13:00:00+00:00,0.155800000000,1h,67.00,55.00,LONG
20260827130000+0000_4cb929d38a,V9.20_V3_FORWARD,PUMP/USDT,2026-08-27T13:00:00+00:00,0.004936000000,1h,67.00,54.00,LONG
20260827140000+0000_1b79818c2f,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T14:00:00+00:00,94.570000000000,1h,75.00,70.00,LONG
20260827140000+0000_848613e20c,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T14:00:00+00:00,0.153200000000,1h,73.00,68.00,LONG
20260827140000+0000_7e9da15361,V9.20_V3_FORWARD,PUMP/USDT,2026-08-27T14:00:00+00:00,0.004875000000,1h,72.00,67.00,LONG
20260827140000+0000_9366ba97d9,V9.20_V3_FORWARD,HEMI/USDT,2026-08-27T14:00:00+00:00,0.008820000000,1h,72.00,59.00,LONG
