time,equity,open_positions
2026-07-18T13:00:00+00:00,1000.00000000,10
2026-07-18T14:00:00+00:00,1000.00000000,10
2026-07-18T16:00:00+00:00,1000.00000000,10
2026-07-18T20:00:00+00:00,1000.00000000,10
2026-07-19T01:00:00+00:00,1000.00000000,10
2026-07-19T02:00:00+00:00,1000.00000000,10
2026-07-19T03:00:00+00:00,1000.00000000,10
2026-07-19T05:00:00+00:00,983.20000000,6
2026-07-19T06:00:00+00:00,978.00000000,10
2026-07-19T07:00:00+00:00,978.00000000,10
2026-07-19T08:00:00+00:00,978.00000000,10
2026-07-19T10:00:00+00:00,978.00000000,10
2026-07-19T11:00:00+00:00,978.00000000,10
2026-07-19T12:00:00+00:00,978.00000000,10
2026-07-19T13:00:00+00:00,959.58942703,10
2026-07-19T14:00:00+00:00,959.58942703,10
2026-07-19T15:00:00+00:00,959.58942703,10
2026-07-19T16:00:00+00:00,959.58942703,10
2026-07-19T17:00:00+00:00,959.58942703,10
2026-07-19T20:00:00+00:00,959.58942703,10
2026-07-19T21:00:00+00:00,959.58942703,10
2026-07-19T22:00:00+00:00,959.58942703,10
2026-07-19T23:00:00+00:00,959.58942703,10
2026-07-20T00:00:00+00:00,959.58942703,10
2026-07-20T01:00:00+00:00,959.58942703,10
2026-07-20T02:00:00+00:00,959.58942703,10
2026-07-20T05:00:00+00:00,959.58942703,10
2026-07-20T06:00:00+00:00,956.30349706,5
2026-07-20T07:00:00+00:00,956.30349706,5
2026-07-20T08:00:00+00:00,956.30349706,5
2026-07-20T10:00:00+00:00,956.30349706,10
2026-07-20T11:00:00+00:00,956.30349706,10
2026-07-20T12:00:00+00:00,956.30349706,10
2026-07-20T13:00:00+00:00,948.23001733,10
2026-07-20T14:00:00+00:00,948.23001733,10
2026-07-20T15:00:00+00:00,948.23001733,10
2026-07-20T16:00:00+00:00,948.23001733,10
2026-07-20T17:00:00+00:00,948.23001733,10
2026-07-20T19:00:00+00:00,935.63001733,7
2026-07-20T20:00:00+00:00,935.63001733,10
2026-07-20T22:00:00+00:00,935.63001733,10
2026-07-21T00:00:00+00:00,935.63001733,10
2026-07-21T01:00:00+00:00,935.63001733,10
2026-07-21T02:00:00+00:00,935.63001733,10
2026-07-21T03:00:00+00:00,935.63001733,10
2026-07-21T05:00:00+00:00,935.63001733,10
2026-07-21T06:00:00+00:00,935.63001733,10
2026-07-21T07:00:00+00:00,935.63001733,10
2026-07-21T08:00:00+00:00,935.63001733,10
2026-07-21T10:00:00+00:00,966.31553809,10
2026-07-21T11:00:00+00:00,966.31553809,10
2026-07-21T12:00:00+00:00,966.31553809,10
2026-07-21T13:00:00+00:00,968.25650502,10
2026-07-21T14:00:00+00:00,968.25650502,10
2026-07-21T15:00:00+00:00,968.25650502,10
2026-07-21T16:00:00+00:00,968.25650502,10
2026-07-21T17:00:00+00:00,968.25650502,10
2026-07-21T20:00:00+00:00,965.31275502,7
2026-07-21T21:00:00+00:00,965.31275502,9
2026-07-21T22:00:00+00:00,965.31275502,10
2026-07-21T23:00:00+00:00,965.31275502,10
2026-07-22T01:00:00+00:00,965.31275502,10
2026-07-22T02:00:00+00:00,965.31275502,10
2026-07-22T03:00:00+00:00,965.31275502,10
2026-07-22T05:00:00+00:00,965.31275502,10
2026-07-22T07:00:00+00:00,965.31275502,10
2026-07-22T08:00:00+00:00,965.31275502,10
2026-07-22T09:00:00+00:00,965.31275502,10
2026-07-22T10:00:00+00:00,954.81554831,10
2026-07-22T11:00:00+00:00,954.81554831,10
2026-07-22T12:00:00+00:00,954.81554831,10
2026-07-22T13:00:00+00:00,960.16295527,10
2026-07-22T14:00:00+00:00,960.16295527,10
2026-07-22T15:00:00+00:00,960.16295527,10
2026-07-22T16:00:00+00:00,960.16295527,10
2026-07-22T21:00:00+00:00,955.99344511,8
2026-07-22T22:00:00+00:00,954.16595867,7
2026-07-23T01:00:00+00:00,954.16595867,10
2026-07-23T03:00:00+00:00,954.16595867,10
2026-07-23T06:00:00+00:00,954.16595867,10
2026-07-23T07:00:00+00:00,954.16595867,10
2026-07-23T08:00:00+00:00,954.16595867,10
2026-07-23T09:00:00+00:00,954.16595867,10
2026-07-23T10:00:00+00:00,950.63420141,10
2026-07-23T11:00:00+00:00,950.63420141,10
2026-07-23T12:00:00+00:00,942.23420141,10
2026-07-23T13:00:00+00:00,929.63420141,10
2026-07-23T14:00:00+00:00,929.63420141,10
2026-07-23T15:00:00+00:00,929.63420141,10
2026-07-23T16:00:00+00:00,929.63420141,10
2026-07-23T17:00:00+00:00,929.63420141,10
2026-07-23T20:00:00+00:00,929.63420141,10
2026-07-23T22:00:00+00:00,929.63420141,10
2026-07-24T00:00:00+00:00,929.63420141,10
2026-07-24T01:00:00+00:00,929.63420141,10
2026-07-24T02:00:00+00:00,929.63420141,10
2026-07-24T03:00:00+00:00,929.63420141,10
2026-07-24T04:00:00+00:00,929.63420141,10
2026-07-24T05:00:00+00:00,929.63420141,10
2026-07-24T06:00:00+00:00,929.63420141,10
2026-07-24T08:00:00+00:00,929.63420141,10
2026-07-24T09:00:00+00:00,929.63420141,10
2026-07-24T10:00:00+00:00,932.31637195,10
2026-07-24T12:00:00+00:00,904.19713451,3
2026-07-24T13:00:00+00:00,892.80481340,0
2026-07-24T14:00:00+00:00,892.80481340,10
2026-07-24T15:00:00+00:00,892.80481340,10
2026-07-24T17:00:00+00:00,892.80481340,10
2026-07-24T18:00:00+00:00,855.20481340,2
2026-07-24T19:00:00+00:00,842.80481340,10
2026-07-24T20:00:00+00:00,842.80481340,10
2026-07-24T21:00:00+00:00,842.80481340,10
2026-07-24T22:00:00+00:00,842.80481340,10
2026-07-25T00:00:00+00:00,842.80481340,10
2026-07-25T01:00:00+00:00,842.80481340,10
2026-07-25T03:00:00+00:00,842.80481340,10
2026-07-25T05:00:00+00:00,842.80481340,10
2026-07-25T06:00:00+00:00,805.20481340,2
2026-07-25T07:00:00+00:00,805.20481340,10
2026-07-25T08:00:00+00:00,805.20481340,10
2026-07-25T09:00:00+00:00,755.20481340,0
2026-07-25T13:00:00+00:00,755.20481340,10
2026-07-25T15:00:00+00:00,755.20481340,10
2026-07-25T17:00:00+00:00,755.20481340,10
2026-07-25T21:00:00+00:00,755.20481340,10
2026-07-25T23:00:00+00:00,755.20481340,10
2026-07-26T00:00:00+00:00,755.20481340,10
2026-07-26T01:00:00+00:00,755.20481340,10
2026-07-26T02:00:00+00:00,755.20481340,10
2026-07-26T05:00:00+00:00,755.20481340,10
2026-07-26T11:00:00+00:00,755.20481340,10
2026-07-26T13:00:00+00:00,769.66547935,0
2026-07-26T16:00:00+00:00,769.66547935,10
2026-07-26T17:00:00+00:00,769.66547935,10
2026-07-26T19:00:00+00:00,769.66547935,10
2026-07-26T20:00:00+00:00,769.66547935,10
2026-07-26T22:00:00+00:00,769.66547935,10
2026-07-27T02:00:00+00:00,769.66547935,10
2026-07-27T05:00:00+00:00,769.66547935,10
2026-07-27T10:00:00+00:00,769.66547935,10
2026-07-27T11:00:00+00:00,769.66547935,10
2026-07-27T13:00:00+00:00,769.66547935,10
2026-07-27T14:00:00+00:00,769.66547935,10
2026-07-27T15:00:00+00:00,769.66547935,10
2026-07-27T16:00:00+00:00,768.62026861,10
2026-07-27T17:00:00+00:00,768.62026861,10
2026-07-27T18:00:00+00:00,768.62026861,10
2026-07-27T19:00:00+00:00,768.62026861,10
2026-07-27T20:00:00+00:00,768.62026861,10
2026-07-27T21:00:00+00:00,768.62026861,10
2026-07-27T22:00:00+00:00,776.42026861,10
2026-07-27T23:00:00+00:00,776.42026861,10
2026-07-28T00:00:00+00:00,768.02026861,10
