trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_return_pct,pnl_usdt,buy_order_id,sell_order_id
20260830220000+0000_1621d6eb3f_2026-08-31T16:59:08.144943+00:00,DASH/USDT,2026-08-31T15:48:45.609778+00:00,2026-08-31T16:59:08.144943+00:00,44.110000000000,47.050000000000,4.532000000000,TARGET,6.665155,13.324080,568375,573001
20260830220000+0000_fe1da94053_2026-08-31T17:44:25.352525+00:00,HEMI/USDT,2026-08-31T15:48:43.919450+00:00,2026-08-31T17:44:25.352525+00:00,0.014680000000,0.015760000000,13605.400000000000,TARGET,7.356948,14.693832,450972,454211
20260830210000+0000_e61d616c64_2026-08-31T18:39:46.457747+00:00,HEMI/USDT,2026-08-31T17:44:28.567055+00:00,2026-08-31T18:39:46.457747+00:00,0.015770000000,0.016740000000,12690.299999999999,TARGET,6.150919,12.309591,454212,456386
20260830200000+0000_c26ba46e23_2026-08-31T19:50:21.756673+00:00,HEMI/USDT,2026-08-31T18:39:48.399777+00:00,2026-08-31T19:50:21.756673+00:00,0.016780000000,0.016050000000,11947.400000000000,STOP,-4.350417,-8.721602,456387,459133
20260830210000+0000_534339c233_2026-08-31T21:51:03.913299+00:00,DASH/USDT,2026-08-31T16:59:10.376432+00:00,2026-08-31T21:51:03.913299+00:00,47.070000000000,45.270000000000,4.250000000000,STOP,-3.824092,-7.650000,573002,584519
20260830190000+0000_0eaefc0e6b_2026-09-01T11:51:06.394077+00:00,ENA/USDT,2026-08-31T15:48:45.047491+00:00,2026-09-01T11:51:06.394077+00:00,0.152600000000,0.164300000000,1309.750000000000,TARGET,7.667104,15.324075,425682,442896
20260830220000+0000_38bb75ccbc_2026-09-01T13:06:44.283120+00:00,AUCTION/USDT,2026-08-31T19:50:23.683140+00:00,2026-09-01T13:06:44.283120+00:00,3.426000000000,3.285000000000,58.560000000000,STOP,-4.115587,-8.256960,368921,386777
20260830200000+0000_4aa6ec26eb_2026-09-01T15:49:25.663581+00:00,AAVE/USDT,2026-08-31T15:48:44.486931+00:00,2026-09-01T15:49:25.663581+00:00,124.220000000000,127.380000000000,1.609000000000,TIME,2.543874,5.084440,1430339,1499441
20260830190000+0000_7bd60c2b07_2026-09-01T15:49:27.648993+00:00,SOL/USDT,2026-08-31T15:48:46.172183+00:00,2026-09-01T15:49:27.648993+00:00,103.130000000000,102.250000000000,1.939000000000,TIME,-0.853292,-1.706320,1534452,1598160
20260831200000+0000_dc201564b8_2026-09-01T18:25:18.742470+00:00,ZEC/USDT,2026-08-31T21:51:06.363150+00:00,2026-09-01T18:25:18.742470+00:00,859.330000000000,823.440000000000,0.233000000000,STOP,-4.176510,-8.362370,4052992,4209475
20260901030000+0000_cb48f8cd43_2026-09-02T10:41:55.300597+00:00,SOL/USDT,2026-09-01T15:49:30.638540+00:00,2026-09-02T10:41:55.300597+00:00,102.260000000000,97.960000000000,1.955000000000,STOP,-4.204968,-8.406500,1598161,1653454
20260831220000+0000_a76d7ecd5f_2026-09-02T11:52:18.886098+00:00,USD1/USDT,2026-09-01T11:51:09.480304+00:00,2026-09-02T11:52:18.886098+00:00,0.999800000000,0.999880000000,200.000000000000,TIME,0.008002,0.016000,115604,119960
20260831220000+0000_1c74801a83_2026-09-02T13:07:45.620742+00:00,EUR/USDT,2026-09-01T13:06:46.880445+00:00,2026-09-02T13:07:45.620742+00:00,1.159600000000,1.158400000000,172.400000000000,TIME,-0.103484,-0.206880,103308,105749
20260831170000+0000_e999a2e8d0_2026-09-02T15:53:40.407171+00:00,XLM/USDT,2026-09-01T15:49:30.074045+00:00,2026-09-02T15:53:40.407171+00:00,0.178700000000,0.173300000000,1120.000000000000,TIME,-3.021824,-6.048000,275871,286290
20260902040000+0000_17a8b42996_2026-09-02T17:14:08.310079+00:00,HEMI/USDT,2026-09-02T10:41:57.538440+00:00,2026-09-02T17:14:08.310079+00:00,0.014320000000,0.015370000000,13937.200000000001,TARGET,7.332402,14.634060,540588,550523
20260901000000+0000_7e5cee9cad_2026-09-02T18:29:36.220937+00:00,ETH/USDT,2026-09-01T18:25:22.099673+00:00,2026-09-02T18:29:36.220937+00:00,2414.930000000000,2395.880000000000,0.082800000000,TIME,-0.788843,-1.577340,7759578,7984948
20260902050000+0000_27103daa78_2026-09-03T01:27:03.336300+00:00,FIL/USDT,2026-09-02T15:53:43.488565+00:00,2026-09-03T01:27:03.336300+00:00,0.772700000000,0.820700000000,259.230000000000,TARGET,6.211984,12.443040,1068199,1098833
20260902100000+0000_117dfa8407_2026-09-03T10:19:56.829132+00:00,UNI/USDT,2026-09-02T11:52:22.062514+00:00,2026-09-03T10:19:56.829132+00:00,5.749000000000,6.069000000000,34.910000000000,TARGET,5.566185,11.171200,902548,960232
20260903000000+0000_93335d674d_2026-09-03T12:35:44.387925+00:00,T/USDT,2026-09-03T10:20:00.037643+00:00,2026-09-03T12:35:44.387925+00:00,0.004430000000,0.004700000000,44444.400000000001,TARGET,6.094808,11.999988,58223,58811
20260902040000+0000_db4cb56b59_2026-09-03T13:10:56.524744+00:00,USDC/USDT,2026-09-02T13:07:48.917760+00:00,2026-09-03T13:10:56.524744+00:00,1.000360000000,1.000270000000,199.000000000000,TIME,-0.008997,-0.017910,287889,300163
20260901180000+0000_87ec716cff_2026-09-03T15:06:35.720967+00:00,NEAR/USDT,2026-09-02T17:14:11.175302+00:00,2026-09-03T15:06:35.720967+00:00,1.843000000000,1.958000000000,108.400000000000,TARGET,6.239826,12.466000,417680,433782
20260902020000+0000_4c83d3ae10_2026-09-03T15:06:37.973496+00:00,ENA/USDT,2026-09-03T01:27:05.902136+00:00,2026-09-03T15:06:37.973496+00:00,0.151600000000,0.161100000000,1321.000000000000,TARGET,6.266491,12.549500,485081,496899
20260902100000+0000_579fca6f30_2026-09-03T18:32:47.772934+00:00,USD1/USDT,2026-09-02T18:29:39.414867+00:00,2026-09-03T18:32:47.772934+00:00,0.999780000000,0.999650000000,200.000000000000,TIME,-0.013003,-0.026000,121224,125002
20260903100000+0000_8052ea6d5f_2026-09-03T19:58:18.515806+00:00,CHIP/USDT,2026-09-03T18:32:51.124865+00:00,2026-09-03T19:58:18.515806+00:00,0.054380000000,0.057319883374,3687.000000000000,TARGET,5.406185,10.839350,1088798,1095419
20260903050000+0000_42d78fb490_2026-09-03T20:13:25.407109+00:00,HEMI/USDT,2026-09-03T15:06:40.832145+00:00,2026-09-03T20:13:25.407109+00:00,0.016160000000,0.015460000000,12376.200000000001,STOP,-4.331683,-8.663340,602582,609797
20260903150000+0000_0ea6ab9dcf_2026-09-04T02:55:51.211702+00:00,DASH/USDT,2026-09-03T20:13:27.765074+00:00,2026-09-04T02:55:51.211702+00:00,46.220000000000,49.740000000000,4.328000000000,TARGET,7.615751,15.234560,691404,705549
